instance_id,agent_count,interaction_level,strategy,agent_order,original_index_order,agent_degrees,independent_conflict_count,independent_conflict_pair_count,ordering_low_level_searches,incident_conflict_counts,success,termination_reason,ordering_time_ms,pp_time_ms,total_time_ms,soc,makespan,conflict_count,error_message,catalogue_role,catalogue_seed,pp_low_level_searches,pp_agents_planned
AR0204SR_HO_n10_high_002,10,high,spf_cd,"[9, 4, 1, 2, 3, 8, 0, 6, 5, 7]","[9, 4, 1, 2, 3, 8, 0, 6, 5, 7]","[1, 0, 1, 0, 1, 0, 0, 0, 3, 0]",3,3,10,"[1, 0, 1, 0, 1, 0, 0, 0, 3, 0]",True,success,22570.14560000971,22688.00259998534,45258.14819999505,3249,409,0,,held_out_validation,2027,10,10
AR0204SR_HO_n10_low_000,10,low,cdf_h,"[5, 9, 0, 6, 7, 2, 3, 4, 1, 8]","[5, 9, 0, 6, 7, 2, 3, 4, 1, 8]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,0,10,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",True,success,42764.20269999653,44033.65799994208,86797.86069993861,2810,486,0,,held_out_validation,2027,10,10
AR0204SR_HO_n10_low_000,10,low,cdf_l,"[5, 9, 0, 6, 7, 2, 3, 4, 1, 8]","[5, 9, 0, 6, 7, 2, 3, 4, 1, 8]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,0,10,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",True,success,42704.94560000952,43939.6080999868,86644.55369999632,2810,486,0,,held_out_validation,2027,10,10
AR0204SR_HO_n10_low_000,10,low,spf_cd,"[5, 9, 0, 6, 7, 2, 3, 4, 1, 8]","[5, 9, 0, 6, 7, 2, 3, 4, 1, 8]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,0,10,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",True,success,42852.85959998146,43943.84779990651,86796.70739988796,2810,486,0,,held_out_validation,2027,10,10
AR0204SR_HO_n10_low_001,10,low,cdf_h,"[5, 7, 4, 9, 2, 8, 0, 1, 6, 3]","[5, 7, 4, 9, 2, 8, 0, 1, 6, 3]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,0,10,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",True,success,24935.02500001341,25641.677199979313,50576.702199992724,3330,462,0,,held_out_validation,2027,10,10
AR0204SR_HO_n10_low_001,10,low,cdf_l,"[5, 7, 4, 9, 2, 8, 0, 1, 6, 3]","[5, 7, 4, 9, 2, 8, 0, 1, 6, 3]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,0,10,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",True,success,25193.75169998966,25883.83619999513,51077.58789998479,3330,462,0,,held_out_validation,2027,10,10
AR0204SR_HO_n10_low_001,10,low,spf_cd,"[5, 7, 4, 9, 2, 8, 0, 1, 6, 3]","[5, 7, 4, 9, 2, 8, 0, 1, 6, 3]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,0,10,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",True,success,26015.24039998185,25826.417800039053,51841.6582000209,3330,462,0,,held_out_validation,2027,10,10
AR0204SR_HO_n10_low_002,10,low,cdf_h,"[2, 0, 3, 5, 1, 4, 9, 6, 7, 8]","[2, 0, 3, 5, 1, 4, 9, 6, 7, 8]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,0,10,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",True,success,29574.031900032423,31150.743499980308,60724.77540001273,2831,471,0,,held_out_validation,2027,10,10
AR0204SR_HO_n10_low_002,10,low,cdf_l,"[2, 0, 3, 5, 1, 4, 9, 6, 7, 8]","[2, 0, 3, 5, 1, 4, 9, 6, 7, 8]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,0,10,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",True,success,30449.59699991159,30273.285800009035,60722.882799920626,2831,471,0,,held_out_validation,2027,10,10
AR0204SR_HO_n10_low_002,10,low,spf_cd,"[2, 0, 3, 5, 1, 4, 9, 6, 7, 8]","[2, 0, 3, 5, 1, 4, 9, 6, 7, 8]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,0,10,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",True,success,29742.618500022218,30213.195999967866,59955.81449999008,2831,471,0,,held_out_validation,2027,10,10
