instance_id,agent_count,interaction_level,ordering_index,ordering_seed,agent_order,base_seed,success,termination_reason,execution_time_ms,soc,makespan,conflict_count,pp_low_level_searches,pp_agents_planned
AR0204SR_n05_medium_000,5,medium,15,7196111651618189301,"[3, 0, 1, 2, 4]",2026,True,success,3716.1914000753313,1299,398,0,5,5
AR0204SR_n05_medium_000,5,medium,16,5185535890658083433,"[4, 1, 0, 3, 2]",2026,True,success,3737.8339000279084,1299,398,0,5,5
AR0204SR_n05_medium_000,5,medium,17,5582849064260694586,"[3, 2, 4, 1, 0]",2026,True,success,3681.813700008206,1299,398,0,5,5
AR0204SR_n05_medium_000,5,medium,18,6250073516137620688,"[1, 4, 2, 3, 0]",2026,True,success,3816.5903000626713,1299,398,0,5,5
AR0204SR_n05_medium_000,5,medium,19,7580845655591855383,"[3, 1, 0, 2, 4]",2026,True,success,3650.1092000398785,1299,398,0,5,5
AR0204SR_n05_medium_001,5,medium,10,7896161460830170487,"[0, 3, 1, 4, 2]",2026,True,success,9537.962600006722,1291,333,0,5,5
AR0204SR_n05_medium_001,5,medium,11,488735946891527746,"[2, 0, 3, 1, 4]",2026,True,success,9228.126599919051,1291,333,0,5,5
AR0204SR_n05_medium_001,5,medium,12,5697342318414327933,"[1, 3, 4, 2, 0]",2026,True,success,9037.451000069268,1291,333,0,5,5
AR0204SR_n05_medium_001,5,medium,13,5257798366534426201,"[3, 4, 1, 2, 0]",2026,True,success,9202.701300033368,1291,333,0,5,5
AR0204SR_n05_medium_001,5,medium,14,5852751333460292428,"[0, 4, 2, 3, 1]",2026,True,success,9202.711599995382,1291,333,0,5,5
AR0204SR_n05_medium_001,5,medium,15,5197604400458258869,"[3, 4, 2, 1, 0]",2026,True,success,9243.360299966298,1291,333,0,5,5
AR0204SR_n05_medium_001,5,medium,16,3243007455087963718,"[2, 1, 4, 0, 3]",2026,True,success,9436.60099990666,1291,333,0,5,5
AR0204SR_n05_medium_001,5,medium,17,1480946255008013421,"[0, 3, 2, 4, 1]",2026,True,success,9221.334099886008,1291,333,0,5,5
AR0204SR_n05_medium_001,5,medium,18,8978793768405866112,"[3, 2, 4, 1, 0]",2026,True,success,9365.740899927914,1291,333,0,5,5
AR0204SR_n05_medium_001,5,medium,19,5071620416048680491,"[1, 3, 2, 0, 4]",2026,True,success,9207.217499963008,1291,333,0,5,5
AR0204SR_n05_medium_002,5,medium,10,6941385900174471566,"[2, 4, 3, 0, 1]",2026,True,success,27011.508099967614,1396,490,0,5,5
AR0204SR_n05_medium_002,5,medium,11,9214872017025916137,"[4, 0, 3, 2, 1]",2026,True,success,28433.077599969693,1396,490,0,5,5
AR0204SR_n05_medium_002,5,medium,12,6100772587440167280,"[2, 3, 4, 1, 0]",2026,True,success,28138.71760002803,1396,490,0,5,5
AR0204SR_n05_medium_002,5,medium,13,5464680711790941314,"[0, 1, 2, 3, 4]",2026,True,success,27594.033600063995,1396,490,0,5,5
AR0204SR_n05_medium_002,5,medium,14,7029353371673000173,"[4, 2, 1, 3, 0]",2026,True,success,27655.05090006627,1396,490,0,5,5
AR0204SR_n05_medium_002,5,medium,15,5377138183999204405,"[2, 3, 0, 1, 4]",2026,True,success,27596.63200005889,1396,490,0,5,5
AR0204SR_n05_medium_002,5,medium,16,2411420181121896652,"[4, 1, 2, 3, 0]",2026,True,success,27273.830800084397,1396,490,0,5,5
AR0204SR_n05_medium_002,5,medium,17,4596932180968812232,"[0, 3, 1, 2, 4]",2026,True,success,27413.712200010195,1396,490,0,5,5
AR0204SR_n05_medium_002,5,medium,18,8073648352647589808,"[4, 2, 3, 1, 0]",2026,True,success,27179.96489990037,1396,490,0,5,5
AR0204SR_n05_medium_002,5,medium,19,5320179266541615257,"[4, 3, 2, 0, 1]",2026,True,success,27567.976300022565,1396,490,0,5,5
AR0204SR_n10_high_000,10,high,10,5670967998864226038,"[3, 5, 4, 2, 8, 9, 0, 7, 6, 1]",2026,True,success,24571.595899993554,2562,511,0,10,10
AR0204SR_n10_high_000,10,high,11,8519361198185734258,"[1, 5, 7, 6, 4, 2, 9, 3, 8, 0]",2026,True,success,25303.120200056583,2564,511,0,10,10
AR0204SR_n10_high_000,10,high,12,3573806104676481900,"[4, 8, 9, 2, 7, 1, 0, 3, 5, 6]",2026,True,success,25183.627899968997,2564,511,0,10,10
AR0204SR_n10_high_000,10,high,13,3150975508932780989,"[2, 9, 1, 5, 4, 7, 8, 6, 0, 3]",2026,True,success,24992.891300003976,2564,511,0,10,10
AR0204SR_n10_high_000,10,high,14,8308169182076473072,"[8, 1, 0, 7, 5, 6, 3, 4, 9, 2]",2026,True,success,24772.45839999523,2550,511,0,10,10
AR0204SR_n10_high_000,10,high,15,5489714316827837711,"[0, 2, 8, 4, 5, 6, 7, 3, 1, 9]",2026,True,success,18553.78830002155,2485,511,0,10,10
AR0204SR_n10_high_000,10,high,16,1014677258879189036,"[4, 7, 1, 0, 2, 9, 3, 5, 8, 6]",2026,True,success,25836.246999911964,2564,511,0,10,10
AR0204SR_n10_high_000,10,high,17,1370563667571530455,"[0, 8, 7, 9, 3, 1, 2, 4, 6, 5]",2026,True,success,24976.636399980634,2550,511,0,10,10
AR0204SR_n10_high_000,10,high,18,3778866467211810064,"[7, 6, 4, 1, 9, 3, 5, 8, 0, 2]",2026,True,success,25373.414999921806,2564,511,0,10,10
AR0204SR_n10_high_000,10,high,19,7262348712649705432,"[3, 0, 5, 9, 6, 1, 2, 7, 4, 8]",2026,True,success,19069.978600018658,2505,511,0,10,10
AR0204SR_n10_high_001,10,high,10,8039077325988310988,"[9, 3, 7, 4, 1, 0, 6, 8, 5, 2]",2026,True,success,58654.25120003056,3181,512,0,10,10
AR0204SR_n10_high_001,10,high,11,1228069251098511304,"[0, 2, 9, 5, 8, 6, 7, 3, 1, 4]",2026,True,success,37960.454900050536,2962,512,0,10,10
