catalogue,instance_id,agent_count,interaction_level,spf_soc,spf_cd_soc,soc_equal,spf_makespan,spf_cd_makespan,makespan_equal,same_priority_order,spf_agent_order,spf_cd_original_index_order,instance_count,identical_soc,identical_makespan,identical_ordering,differing_ordering
held_out,AR0204SR_HO_n10_high_002,10,high,3249,3249,True,409,409,True,True,"[9, 4, 1, 2, 3, 8, 0, 6, 5, 7]","[9, 4, 1, 2, 3, 8, 0, 6, 5, 7]",,,,,
held_out,AR0204SR_HO_n20_low_000,20,low,6225,6225,True,504,504,True,True,"[17, 19, 14, 16, 5, 10, 9, 1, 15, 18, 6, 0, 12, 7, 4, 3, 8, 11, 2, 13]","[17, 19, 14, 16, 5, 10, 9, 1, 15, 18, 6, 0, 12, 7, 4, 3, 8, 11, 2, 13]",,,,,
held_out,AR0204SR_HO_n20_low_001,20,low,4901,4901,True,494,494,True,True,"[8, 2, 3, 11, 16, 4, 5, 18, 7, 6, 15, 12, 0, 1, 9, 10, 19, 17, 13, 14]","[8, 2, 3, 11, 16, 4, 5, 18, 7, 6, 15, 12, 0, 1, 9, 10, 19, 17, 13, 14]",,,,,
held_out,AR0204SR_HO_n20_low_002,20,low,5936,5936,True,505,505,True,True,"[16, 14, 10, 8, 13, 6, 17, 0, 11, 2, 19, 1, 18, 12, 9, 4, 3, 15, 5, 7]","[16, 14, 10, 8, 13, 6, 17, 0, 11, 2, 19, 1, 18, 12, 9, 4, 3, 15, 5, 7]",,,,,
held_out,AR0204SR_HO_n20_medium_000,20,medium,5107,5107,True,503,503,True,True,"[19, 15, 14, 11, 13, 7, 8, 10, 3, 6, 18, 1, 5, 9, 2, 0, 4, 16, 17, 12]","[19, 15, 14, 11, 13, 7, 8, 10, 3, 6, 18, 1, 5, 9, 2, 0, 4, 16, 17, 12]",,,,,
held_out,AR0204SR_HO_n20_medium_001,20,medium,4591,4591,True,509,509,True,True,"[12, 0, 14, 7, 15, 6, 2, 10, 19, 16, 13, 4, 5, 1, 3, 17, 8, 11, 9, 18]","[12, 0, 14, 7, 15, 6, 2, 10, 19, 16, 13, 4, 5, 1, 3, 17, 8, 11, 9, 18]",,,,,
held_out,AR0204SR_HO_n20_medium_002,20,medium,4824,4824,True,490,490,True,True,"[19, 16, 0, 5, 8, 18, 15, 7, 1, 3, 6, 10, 14, 9, 11, 13, 12, 4, 17, 2]","[19, 16, 0, 5, 8, 18, 15, 7, 1, 3, 6, 10, 14, 9, 11, 13, 12, 4, 17, 2]",,,,,
held_out,AR0204SR_HO_n20_high_000,20,high,4784,4784,True,469,469,True,True,"[11, 5, 19, 12, 3, 16, 1, 13, 4, 6, 7, 17, 2, 0, 8, 18, 15, 9, 10, 14]","[11, 5, 19, 12, 3, 16, 1, 13, 4, 6, 7, 17, 2, 0, 8, 18, 15, 9, 10, 14]",,,,,
held_out,AR0204SR_HO_n20_high_001,20,high,5078,5078,True,501,501,True,True,"[3, 5, 19, 12, 18, 6, 4, 15, 11, 13, 9, 14, 16, 1, 2, 10, 8, 7, 0, 17]","[3, 5, 19, 12, 18, 6, 4, 15, 11, 13, 9, 14, 16, 1, 2, 10, 8, 7, 0, 17]",,,,,
held_out,AR0204SR_HO_n20_high_002,20,high,4865,4865,True,496,496,True,True,"[15, 19, 7, 18, 3, 14, 2, 0, 8, 16, 9, 11, 6, 10, 4, 12, 17, 5, 1, 13]","[15, 19, 7, 18, 3, 14, 2, 0, 8, 16, 9, 11, 6, 10, 4, 12, 17, 5, 1, 13]",,,,,
primary,,,,,,,,,,,,,27,27,27,27,0
held_out,,,,,,,,,,,,,27,27,27,27,0
combined,,,,,,,,,,,,,54,54,54,54,0
