algorithm,scenario_index,seed,found,final_goal_reached,initial_path_found,replanning_count,waiting_steps,collision_count,agent_push_count,obstacle_blocked_count,travelled_steps,total_path_cost,total_execution_time_ms,wall_clock_s,obstacle_count,prediction_steps,path_block_lookahead,start_row,start_col,goal_row,goal_col,optimal_length
A*,12,54,True,True,True,4,0,2,2,0,85,109.85281374238558,10.957299964502454,0.06591070001013577,4,0,20,359,395,435,330,105.85281372
D* Lite,12,54,True,True,True,0,0,0,0,0,80,105.26702730475867,167.68269997555763,0.7232688999501988,4,0,20,359,395,435,330,105.85281372
A*,13,55,True,True,True,0,0,0,0,0,93,106.25483399593895,19.657000084407628,0.06425290007609874,4,0,20,407,34,379,127,106.25483398
D* Lite,13,55,True,True,True,0,0,0,0,0,93,106.25483399593895,50.36120000295341,0.5488496000180021,4,0,20,407,34,379,127,106.25483398
A*,14,56,True,True,True,50,27,6,6,0,102,124.36753236814705,15192.548099672422,15.473796800011769,4,0,20,460,296,398,378,107.68124084
D* Lite,14,56,True,True,True,38,28,16,16,0,107,135.58073580374352,180.27280026581138,1.229898100020364,4,0,20,460,296,398,378,107.68124084
A*,15,57,True,True,True,2,0,0,0,0,84,105.95331880577392,7.2595999808982015,0.0701218000613153,4,0,20,243,443,327,496,106.53910522
D* Lite,15,57,True,True,True,7,0,0,0,0,93,112.88225099390846,116.75700021442026,0.8462329999310896,4,0,20,243,443,327,496,106.53910522
A*,16,58,True,True,True,5,0,3,3,0,90,112.78174593052012,60.34250010270625,0.13684709998779,4,0,20,410,379,357,447,106.19595947
D* Lite,16,58,True,True,True,10,4,1,1,0,88,109.95331880577393,893.873400054872,1.6754202999873087,4,0,20,410,379,357,447,106.19595947
A*,17,59,True,True,True,1,0,0,0,0,107,109.89949493661166,5.816000048071146,0.09273390006273985,4,0,20,461,61,354,62,107.41421356
D* Lite,17,59,True,True,True,0,0,0,0,0,107,109.89949493661165,89.30099999997765,0.919151599984616,4,0,20,461,61,354,62,107.41421356
A*,18,60,True,True,True,0,0,0,0,0,102,104.07106781186546,5.259500001557171,0.06669770006556064,4,0,20,433,173,438,71,104.07106781
D* Lite,18,60,True,True,True,0,0,0,0,0,102,104.07106781186546,27.385099907405674,0.6634018999757245,4,0,20,433,173,438,71,104.07106781
A*,19,61,True,True,True,3,0,0,0,0,88,107.4680374315354,20.064300042577088,0.0804260999429971,4,0,20,80,281,164,330,104.29646454
D* Lite,19,61,True,True,True,12,7,0,0,0,88,107.4680374315354,273.84010003879666,0.9479661000659689,4,0,20,80,281,164,330,104.29646454
