instance_id,agent_count,interaction_level,strategy,agent_order,original_index_order,agent_degrees,independent_conflict_count,independent_conflict_pair_count,ordering_low_level_searches,incident_conflict_counts,success,termination_reason,ordering_time_ms,pp_time_ms,total_time_ms,soc,makespan,conflict_count,error_message,pp_low_level_searches,pp_agents_planned
AR0204SR_n10_high_001,10,high,spf_cd,"[9, 5, 0, 1, 2, 8, 6, 4, 7, 3]","[9, 5, 0, 1, 2, 8, 6, 4, 7, 3]","[0, 0, 1, 0, 3, 1, 1, 0, 0, 0]",3,3,10,"[0, 0, 1, 0, 3, 1, 1, 0, 0, 0]",True,success,35689.40080003813,36600.72800004855,72290.12880008668,2962,512,0,,10,10
AR0204SR_n10_high_002,10,high,cdf_h,"[3, 4, 1, 8, 5, 2, 9, 7, 6, 0]","[3, 4, 1, 8, 5, 2, 9, 7, 6, 0]","[0, 1, 0, 3, 2, 1, 0, 0, 1, 0]",4,4,10,"[0, 1, 0, 3, 2, 1, 0, 0, 1, 0]",True,success,31617.916199960746,33663.08430000208,65281.00049996283,3458,481,0,,10,10
AR0204SR_n10_high_002,10,high,cdf_l,"[2, 9, 7, 6, 0, 1, 8, 5, 4, 3]","[2, 9, 7, 6, 0, 1, 8, 5, 4, 3]","[0, 1, 0, 3, 2, 1, 0, 0, 1, 0]",4,4,10,"[0, 1, 0, 3, 2, 1, 0, 0, 1, 0]",True,success,32057.85940005444,31823.28899996355,63881.14840001799,3415,481,0,,10,10
AR0204SR_n10_high_002,10,high,spf_cd,"[1, 2, 9, 7, 8, 6, 4, 0, 5, 3]","[1, 2, 9, 7, 8, 6, 4, 0, 5, 3]","[0, 1, 0, 3, 2, 1, 0, 0, 1, 0]",4,4,10,"[0, 1, 0, 3, 2, 1, 0, 0, 1, 0]",True,success,31484.079899964854,31938.102399930358,63422.18229989521,3415,481,0,,10,10
AR0204SR_n10_low_000,10,low,cdf_h,"[3, 6, 8, 0, 7, 4, 2, 5, 9, 1]","[3, 6, 8, 0, 7, 4, 2, 5, 9, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,0,10,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",True,success,24298.998000100255,24744.62360003963,49043.621600139886,2594,495,0,,10,10
AR0204SR_n10_low_000,10,low,cdf_l,"[3, 6, 8, 0, 7, 4, 2, 5, 9, 1]","[3, 6, 8, 0, 7, 4, 2, 5, 9, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,0,10,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",True,success,24235.567299998365,24883.067599963397,49118.63489996176,2594,495,0,,10,10
AR0204SR_n10_low_000,10,low,spf_cd,"[3, 6, 8, 0, 7, 4, 2, 5, 9, 1]","[3, 6, 8, 0, 7, 4, 2, 5, 9, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,0,10,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",True,success,24449.38930007629,25067.038199980743,49516.427500057034,2594,495,0,,10,10
AR0204SR_n10_low_001,10,low,cdf_h,"[2, 7, 3, 0, 8, 9, 6, 5, 4, 1]","[2, 7, 3, 0, 8, 9, 6, 5, 4, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,0,10,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",True,success,29579.982400056906,30160.49640008714,59740.47880014405,2400,455,0,,10,10
AR0204SR_n10_low_001,10,low,cdf_l,"[2, 7, 3, 0, 8, 9, 6, 5, 4, 1]","[2, 7, 3, 0, 8, 9, 6, 5, 4, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,0,10,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",True,success,29669.64720003307,30668.601999990642,60338.24920002371,2400,455,0,,10,10
AR0204SR_n10_low_001,10,low,spf_cd,"[2, 7, 3, 0, 8, 9, 6, 5, 4, 1]","[2, 7, 3, 0, 8, 9, 6, 5, 4, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,0,10,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",True,success,29837.856800062582,30188.900600071065,60026.75740013365,2400,455,0,,10,10
AR0204SR_n10_low_002,10,low,cdf_h,"[2, 3, 0, 9, 5, 1, 6, 8, 7, 4]","[2, 3, 0, 9, 5, 1, 6, 8, 7, 4]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,0,10,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",True,success,3767.6121999975294,3863.7630000011995,7631.375199998729,1862,343,0,,10,10
AR0204SR_n10_low_002,10,low,cdf_l,"[2, 3, 0, 9, 5, 1, 6, 8, 7, 4]","[2, 3, 0, 9, 5, 1, 6, 8, 7, 4]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,0,10,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",True,success,3803.238800028339,3846.121700014919,7649.360500043258,1862,343,0,,10,10
AR0204SR_n10_low_002,10,low,spf_cd,"[2, 3, 0, 9, 5, 1, 6, 8, 7, 4]","[2, 3, 0, 9, 5, 1, 6, 8, 7, 4]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,0,10,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",True,success,3791.658000089228,3834.0026000514627,7625.660600140691,1862,343,0,,10,10
AR0204SR_n10_medium_000,10,medium,cdf_h,"[8, 4, 6, 0, 2, 9, 7, 5, 3, 1]","[8, 4, 6, 0, 2, 9, 7, 5, 3, 1]","[1, 0, 0, 0, 1, 0, 1, 0, 1, 0]",2,2,10,"[1, 0, 0, 0, 1, 0, 1, 0, 1, 0]",True,success,54955.809099948965,56156.66889993008,111112.47799987905,2797,497,0,,10,10
AR0204SR_n10_medium_000,10,medium,cdf_l,"[2, 9, 7, 5, 3, 1, 8, 4, 6, 0]","[2, 9, 7, 5, 3, 1, 8, 4, 6, 0]","[1, 0, 0, 0, 1, 0, 1, 0, 1, 0]",2,2,10,"[1, 0, 0, 0, 1, 0, 1, 0, 1, 0]",True,success,55124.09810000099,56342.27500006091,111466.3731000619,2797,497,0,,10,10
AR0204SR_n10_medium_000,10,medium,spf_cd,"[8, 2, 9, 7, 5, 4, 3, 6, 0, 1]","[8, 2, 9, 7, 5, 4, 3, 6, 0, 1]","[1, 0, 0, 0, 1, 0, 1, 0, 1, 0]",2,2,10,"[1, 0, 0, 0, 1, 0, 1, 0, 1, 0]",True,success,55437.41879996378,56709.78449995164,112147.20329991542,2797,497,0,,10,10
AR0204SR_n10_medium_001,10,medium,cdf_h,"[2, 0, 1, 7, 5, 3, 6, 9, 4, 8]","[2, 0, 1, 7, 5, 3, 6, 9, 4, 8]","[1, 0, 1, 0, 0, 0, 0, 0, 0, 0]",1,1,10,"[1, 0, 1, 0, 0, 0, 0, 0, 0, 0]",True,success,29398.456100025214,29937.953699962236,59336.40979998745,2567,505,0,,10,10
AR0204SR_n10_medium_001,10,medium,cdf_l,"[1, 7, 5, 3, 6, 9, 4, 8, 2, 0]","[1, 7, 5, 3, 6, 9, 4, 8, 2, 0]","[1, 0, 1, 0, 0, 0, 0, 0, 0, 0]",1,1,10,"[1, 0, 1, 0, 0, 0, 0, 0, 0, 0]",True,success,29505.785599933006,29703.82699999027,59209.612599923275,2567,505,0,,10,10
