instance_id,agent_count,interaction_level,ordering_index,ordering_seed,agent_order,base_seed,success,termination_reason,execution_time_ms,soc,makespan,conflict_count,pp_low_level_searches,pp_agents_planned
AR0204SR_n05_medium_000,5,medium,7,50620856697471971,"[2, 4, 1, 0, 3]",2026,True,success,3691.54739996884,1299,398,0,5,5
AR0204SR_n05_medium_000,5,medium,8,3932184729019205684,"[4, 2, 1, 3, 0]",2026,True,success,3681.9072999060154,1299,398,0,5,5
AR0204SR_n05_medium_000,5,medium,9,5737940366043084179,"[4, 2, 0, 1, 3]",2026,True,success,3693.872799980454,1299,398,0,5,5
AR0204SR_n05_medium_001,5,medium,0,2167407078415561717,"[0, 3, 2, 1, 4]",2026,True,success,9263.216500054114,1291,333,0,5,5
AR0204SR_n05_medium_001,5,medium,1,1393330978541522288,"[1, 2, 4, 0, 3]",2026,True,success,9204.310900066048,1291,333,0,5,5
AR0204SR_n05_medium_001,5,medium,2,3524742052754149521,"[0, 1, 2, 4, 3]",2026,True,success,9233.380599995144,1291,333,0,5,5
AR0204SR_n05_medium_001,5,medium,3,3397010806482081681,"[0, 2, 4, 3, 1]",2026,True,success,9316.335699986666,1291,333,0,5,5
AR0204SR_n05_medium_001,5,medium,4,1432188511358020874,"[2, 0, 4, 3, 1]",2026,True,success,9301.169999991544,1291,333,0,5,5
AR0204SR_n05_medium_001,5,medium,5,5920650624895643230,"[1, 3, 0, 2, 4]",2026,True,success,9195.134400040843,1291,333,0,5,5
AR0204SR_n05_medium_001,5,medium,6,1390007092415792918,"[1, 4, 3, 2, 0]",2026,True,success,9160.808200016618,1291,333,0,5,5
AR0204SR_n05_medium_001,5,medium,7,7293710757989010159,"[0, 3, 4, 1, 2]",2026,True,success,9225.90159997344,1291,333,0,5,5
AR0204SR_n05_medium_001,5,medium,8,4191744238697488960,"[4, 3, 2, 1, 0]",2026,True,success,9282.138800015673,1291,333,0,5,5
AR0204SR_n05_medium_001,5,medium,9,1723525092064453975,"[2, 1, 4, 3, 0]",2026,True,success,9299.87930005882,1291,333,0,5,5
AR0204SR_n05_medium_002,5,medium,0,7164365383560930746,"[0, 2, 3, 4, 1]",2026,True,success,27348.454499966465,1396,490,0,5,5
AR0204SR_n05_medium_002,5,medium,1,1686793933037358491,"[0, 2, 4, 1, 3]",2026,True,success,27042.37780009862,1396,490,0,5,5
AR0204SR_n05_medium_002,5,medium,2,8401336757262637587,"[3, 0, 1, 4, 2]",2026,True,success,27457.8927999828,1396,490,0,5,5
AR0204SR_n05_medium_002,5,medium,3,6986321564134274952,"[0, 3, 2, 1, 4]",2026,True,success,27305.204199976288,1396,490,0,5,5
AR0204SR_n05_medium_002,5,medium,4,1816993735905169765,"[0, 3, 4, 1, 2]",2026,True,success,27355.532599962316,1396,490,0,5,5
AR0204SR_n05_medium_002,5,medium,5,958960071712274311,"[3, 0, 2, 1, 4]",2026,True,success,27581.46300003864,1396,490,0,5,5
AR0204SR_n05_medium_002,5,medium,6,9006249785227451747,"[4, 2, 0, 1, 3]",2026,True,success,27134.164600051008,1396,490,0,5,5
AR0204SR_n05_medium_002,5,medium,7,5290353115047676998,"[1, 2, 3, 4, 0]",2026,True,success,27189.825300010853,1396,490,0,5,5
AR0204SR_n05_medium_002,5,medium,8,1964425724183952944,"[3, 4, 0, 2, 1]",2026,True,success,28191.557600046508,1396,490,0,5,5
AR0204SR_n05_medium_002,5,medium,9,8109453378683854877,"[1, 3, 2, 0, 4]",2026,True,success,27110.789700062014,1396,490,0,5,5
AR0204SR_n10_high_000,10,high,0,529438312487824527,"[6, 8, 3, 1, 4, 7, 2, 0, 5, 9]",2026,True,success,18637.799800024368,2487,511,0,10,10
AR0204SR_n10_high_000,10,high,1,5411860443589598686,"[2, 1, 5, 8, 3, 4, 9, 0, 6, 7]",2026,True,success,19216.859100037254,2495,511,0,10,10
AR0204SR_n10_high_000,10,high,2,7566178688456983869,"[9, 6, 4, 5, 7, 0, 3, 8, 1, 2]",2026,True,success,19030.015300028026,2499,511,0,10,10
AR0204SR_n10_high_000,10,high,3,4731263973918940257,"[7, 1, 4, 0, 2, 9, 3, 6, 5, 8]",2026,True,success,25822.20899988897,2564,511,0,10,10
AR0204SR_n10_high_000,10,high,4,6376007857663360106,"[2, 8, 4, 6, 7, 5, 3, 1, 9, 0]",2026,True,success,18526.63389989175,2485,511,0,10,10
AR0204SR_n10_high_000,10,high,5,3725448591340334285,"[3, 6, 5, 8, 1, 9, 2, 4, 7, 0]",2026,True,success,18920.68520002067,2491,511,0,10,10
AR0204SR_n10_high_000,10,high,6,6468898038741747129,"[8, 9, 3, 5, 2, 4, 6, 7, 1, 0]",2026,True,success,18763.974800007418,2491,511,0,10,10
AR0204SR_n10_high_000,10,high,7,3842593922603899862,"[0, 6, 9, 1, 2, 4, 7, 5, 8, 3]",2026,True,success,19229.524499969557,2501,511,0,10,10
AR0204SR_n10_high_000,10,high,8,9108044012477726634,"[8, 0, 4, 6, 1, 2, 3, 5, 7, 9]",2026,True,success,18882.996100001037,2487,511,0,10,10
AR0204SR_n10_high_000,10,high,9,7047337682432801904,"[2, 4, 7, 1, 9, 3, 0, 5, 8, 6]",2026,True,success,25889.831600012258,2564,511,0,10,10
