manifest_sha256,map_name,catalogue_role,catalogue_seed,instance_id,method,success,termination_reason,selected_candidate_id,selected_agent_order_json,soc,makespan,final_conflict_count,additional_pp_eval_count,logical_pp_candidate_count,logical_runtime_ms,baseline_spf_pp_time_ms,method_specific_runtime_ms
a8bec75ead3a9f18a6d4e99fa05aa5a2f4291ee289b47debf5533ec06dc18403,AR0307SR,mapf9_primary,2031,AR0307SR_n10_low_001,ubls,True,success,0,"[0, 2, 7, 9, 3, 5, 6, 4, 1, 8]",1803,322,0,0,1,14218.02500000922,7151.583099999698,0.03530000685714185
a8bec75ead3a9f18a6d4e99fa05aa5a2f4291ee289b47debf5533ec06dc18403,AR0307SR,mapf9_primary,2031,AR0307SR_n10_low_002,spf,True,success,0,"[1, 3, 2, 8, 7, 0, 5, 4, 6, 9]",2511,406,0,0,1,62724.70369999064,31520.672299986472,31520.672299986472
a8bec75ead3a9f18a6d4e99fa05aa5a2f4291ee289b47debf5533ec06dc18403,AR0307SR,mapf9_primary,2031,AR0307SR_n10_low_002,cglps,True,success,0,"[1, 3, 2, 8, 7, 0, 5, 4, 6, 9]",2511,406,0,0,1,62738.51479997393,31520.672299986472,0.0037999998312443495
a8bec75ead3a9f18a6d4e99fa05aa5a2f4291ee289b47debf5533ec06dc18403,AR0307SR,mapf9_primary,2031,AR0307SR_n10_low_002,ubls,True,success,0,"[1, 3, 2, 8, 7, 0, 5, 4, 6, 9]",2511,406,0,0,1,62724.74659999716,31520.672299986472,0.04290000651963055
a8bec75ead3a9f18a6d4e99fa05aa5a2f4291ee289b47debf5533ec06dc18403,AR0307SR,mapf9_primary,2031,AR0307SR_n10_medium_000,spf,True,success,0,"[5, 7, 8, 3, 9, 6, 0, 2, 1, 4]",2824,504,0,0,1,120821.69260000228,61121.33339999127,61121.33339999127
a8bec75ead3a9f18a6d4e99fa05aa5a2f4291ee289b47debf5533ec06dc18403,AR0307SR,mapf9_primary,2031,AR0307SR_n10_medium_000,cglps,True,success,0,"[5, 7, 8, 3, 9, 6, 0, 2, 1, 4]",2824,504,0,2,3,245039.90999999223,61121.33339999127,124200.49580000341
a8bec75ead3a9f18a6d4e99fa05aa5a2f4291ee289b47debf5533ec06dc18403,AR0307SR,mapf9_primary,2031,AR0307SR_n10_medium_000,ubls,True,success,0,"[5, 7, 8, 3, 9, 6, 0, 2, 1, 4]",2824,504,0,2,3,244738.1427999935,61121.33339999127,123916.45019999123
a8bec75ead3a9f18a6d4e99fa05aa5a2f4291ee289b47debf5533ec06dc18403,AR0307SR,mapf9_primary,2031,AR0307SR_n10_medium_001,spf,True,success,0,"[8, 5, 2, 1, 6, 7, 3, 9, 4, 0]",2219,480,0,0,1,59681.44310003845,30198.002699995413,30198.002699995413
a8bec75ead3a9f18a6d4e99fa05aa5a2f4291ee289b47debf5533ec06dc18403,AR0307SR,mapf9_primary,2031,AR0307SR_n10_medium_001,cglps,True,success,0,"[8, 5, 2, 1, 6, 7, 3, 9, 4, 0]",2219,480,0,1,2,89704.25250005792,30198.002699995413,30006.660600018222
a8bec75ead3a9f18a6d4e99fa05aa5a2f4291ee289b47debf5533ec06dc18403,AR0307SR,mapf9_primary,2031,AR0307SR_n10_medium_001,ubls,True,success,0,"[8, 5, 2, 1, 6, 7, 3, 9, 4, 0]",2219,480,0,1,2,88970.81110003637,30198.002699995413,29289.36799999792
a8bec75ead3a9f18a6d4e99fa05aa5a2f4291ee289b47debf5533ec06dc18403,AR0307SR,mapf9_primary,2031,AR0307SR_n10_medium_002,spf,True,success,0,"[6, 3, 2, 0, 9, 1, 8, 7, 4, 5]",2254,501,0,0,1,80241.96120002307,40544.78960001143,40544.78960001143
a8bec75ead3a9f18a6d4e99fa05aa5a2f4291ee289b47debf5533ec06dc18403,AR0307SR,mapf9_primary,2031,AR0307SR_n10_medium_002,cglps,True,success,0,"[6, 3, 2, 0, 9, 1, 8, 7, 4, 5]",2254,501,0,1,2,128389.42819999647,40544.78960001143,48130.85879999562
a8bec75ead3a9f18a6d4e99fa05aa5a2f4291ee289b47debf5533ec06dc18403,AR0307SR,mapf9_primary,2031,AR0307SR_n10_medium_002,ubls,True,success,0,"[6, 3, 2, 0, 9, 1, 8, 7, 4, 5]",2254,501,0,1,2,119922.92219999945,40544.78960001143,39680.96099997638
a8bec75ead3a9f18a6d4e99fa05aa5a2f4291ee289b47debf5533ec06dc18403,AR0307SR,mapf9_primary,2031,AR0307SR_n20_high_000,spf,True,success,0,"[19, 5, 6, 16, 10, 13, 7, 0, 4, 15, 1, 17, 3, 9, 8, 2, 18, 11, 12, 14]",4417,510,0,0,1,146670.62160000205,73875.20379998023,73875.20379998023
a8bec75ead3a9f18a6d4e99fa05aa5a2f4291ee289b47debf5533ec06dc18403,AR0307SR,mapf9_primary,2031,AR0307SR_n20_high_000,cglps,True,success,1,"[19, 5, 0, 16, 10, 13, 7, 6, 4, 15, 1, 17, 3, 9, 8, 2, 18, 11, 12, 14]",4415,510,0,4,5,449354.7683999641,73875.20379998023,302615.9802999755
a8bec75ead3a9f18a6d4e99fa05aa5a2f4291ee289b47debf5533ec06dc18403,AR0307SR,mapf9_primary,2031,AR0307SR_n20_high_000,ubls,True,success,0,"[19, 5, 6, 16, 10, 13, 7, 0, 4, 15, 1, 17, 3, 9, 8, 2, 18, 11, 12, 14]",4417,510,0,4,5,445915.5500999768,73875.20379998023,299244.9284999748
a8bec75ead3a9f18a6d4e99fa05aa5a2f4291ee289b47debf5533ec06dc18403,AR0307SR,mapf9_primary,2031,AR0307SR_n20_high_001,spf,True,success,0,"[18, 15, 3, 5, 17, 11, 10, 13, 7, 4, 19, 1, 16, 8, 2, 12, 9, 0, 6, 14]",6163,502,0,0,1,210981.0482999892,106431.16229999578,106431.16229999578
a8bec75ead3a9f18a6d4e99fa05aa5a2f4291ee289b47debf5533ec06dc18403,AR0307SR,mapf9_primary,2031,AR0307SR_n20_high_001,cglps,True,success,0,"[18, 15, 3, 5, 17, 11, 10, 13, 7, 4, 19, 1, 16, 8, 2, 12, 9, 0, 6, 14]",6163,502,0,4,5,634670.3960000305,106431.16229999578,423618.21119999513
a8bec75ead3a9f18a6d4e99fa05aa5a2f4291ee289b47debf5533ec06dc18403,AR0307SR,mapf9_primary,2031,AR0307SR_n20_high_001,ubls,True,success,0,"[18, 15, 3, 5, 17, 11, 10, 13, 7, 4, 19, 1, 16, 8, 2, 12, 9, 0, 6, 14]",6163,502,0,4,5,629267.3505999846,106431.16229999578,418286.30229999544
a8bec75ead3a9f18a6d4e99fa05aa5a2f4291ee289b47debf5533ec06dc18403,AR0307SR,mapf9_primary,2031,AR0307SR_n20_high_002,spf,True,success,0,"[2, 10, 19, 1, 17, 12, 3, 16, 5, 9, 7, 11, 0, 4, 14, 18, 15, 13, 6, 8]",5777,512,0,0,1,276216.5951000061,137913.152299996,137913.152299996
a8bec75ead3a9f18a6d4e99fa05aa5a2f4291ee289b47debf5533ec06dc18403,AR0307SR,mapf9_primary,2031,AR0307SR_n20_high_002,cglps,True,success,0,"[2, 10, 19, 1, 17, 12, 3, 16, 5, 9, 7, 11, 0, 4, 14, 18, 15, 13, 6, 8]",5777,512,0,4,5,836587.927000015,137913.152299996,560299.9738000217
a8bec75ead3a9f18a6d4e99fa05aa5a2f4291ee289b47debf5533ec06dc18403,AR0307SR,mapf9_primary,2031,AR0307SR_n20_high_002,ubls,True,success,0,"[2, 10, 19, 1, 17, 12, 3, 16, 5, 9, 7, 11, 0, 4, 14, 18, 15, 13, 6, 8]",5777,512,0,4,5,841653.7378999637,137913.152299996,565437.1427999577
a8bec75ead3a9f18a6d4e99fa05aa5a2f4291ee289b47debf5533ec06dc18403,AR0307SR,mapf9_primary,2031,AR0307SR_n20_low_000,spf,True,success,0,"[8, 1, 5, 0, 2, 17, 16, 14, 19, 10, 9, 15, 3, 6, 11, 4, 12, 13, 18, 7]",3694,451,0,0,1,100985.88029996608,50808.36980001186,50808.36980001186
a8bec75ead3a9f18a6d4e99fa05aa5a2f4291ee289b47debf5533ec06dc18403,AR0307SR,mapf9_primary,2031,AR0307SR_n20_low_000,cglps,True,success,0,"[8, 1, 5, 0, 2, 17, 16, 14, 19, 10, 9, 15, 3, 6, 11, 4, 12, 13, 18, 7]",3694,451,0,0,1,101046.71599998255,50808.36980001186,0.0046000059228390455
a8bec75ead3a9f18a6d4e99fa05aa5a2f4291ee289b47debf5533ec06dc18403,AR0307SR,mapf9_primary,2031,AR0307SR_n20_low_000,ubls,True,success,0,"[8, 1, 5, 0, 2, 17, 16, 14, 19, 10, 9, 15, 3, 6, 11, 4, 12, 13, 18, 7]",3694,451,0,0,1,100985.95389997354,50808.36980001186,0.07360000745393336
a8bec75ead3a9f18a6d4e99fa05aa5a2f4291ee289b47debf5533ec06dc18403,AR0307SR,mapf9_primary,2031,AR0307SR_n20_low_001,spf,True,success,0,"[19, 15, 18, 7, 5, 13, 4, 10, 2, 3, 17, 16, 11, 6, 0, 8, 9, 14, 1, 12]",3946,444,0,0,1,51573.21940001566,25970.531300001312,25970.531300001312
a8bec75ead3a9f18a6d4e99fa05aa5a2f4291ee289b47debf5533ec06dc18403,AR0307SR,mapf9_primary,2031,AR0307SR_n20_low_001,cglps,True,success,0,"[19, 15, 18, 7, 5, 13, 4, 10, 2, 3, 17, 16, 11, 6, 0, 8, 9, 14, 1, 12]",3946,444,0,0,1,51632.315499999095,25970.531300001312,0.0042000028770416975
a8bec75ead3a9f18a6d4e99fa05aa5a2f4291ee289b47debf5533ec06dc18403,AR0307SR,mapf9_primary,2031,AR0307SR_n20_low_001,ubls,True,success,0,"[19, 15, 18, 7, 5, 13, 4, 10, 2, 3, 17, 16, 11, 6, 0, 8, 9, 14, 1, 12]",3946,444,0,0,1,51573.2920000155,25970.531300001312,0.07259999983943999
a8bec75ead3a9f18a6d4e99fa05aa5a2f4291ee289b47debf5533ec06dc18403,AR0307SR,mapf9_primary,2031,AR0307SR_n20_low_002,spf,True,success,0,"[4, 11, 18, 8, 13, 17, 12, 7, 10, 2, 5, 9, 15, 0, 19, 1, 3, 6, 14, 16]",4425,505,0,0,1,162919.15489998064,82688.08429999626,82688.08429999626
a8bec75ead3a9f18a6d4e99fa05aa5a2f4291ee289b47debf5533ec06dc18403,AR0307SR,mapf9_primary,2031,AR0307SR_n20_low_002,cglps,True,success,0,"[4, 11, 18, 8, 13, 17, 12, 7, 10, 2, 5, 9, 15, 0, 19, 1, 3, 6, 14, 16]",4425,505,0,0,1,162988.0581999896,82688.08429999626,0.0043000036384910345
a8bec75ead3a9f18a6d4e99fa05aa5a2f4291ee289b47debf5533ec06dc18403,AR0307SR,mapf9_primary,2031,AR0307SR_n20_low_002,ubls,True,success,0,"[4, 11, 18, 8, 13, 17, 12, 7, 10, 2, 5, 9, 15, 0, 19, 1, 3, 6, 14, 16]",4425,505,0,0,1,162919.23429997405,82688.08429999626,0.07939999341033399
a8bec75ead3a9f18a6d4e99fa05aa5a2f4291ee289b47debf5533ec06dc18403,AR0307SR,mapf9_primary,2031,AR0307SR_n20_medium_000,spf,True,success,0,"[18, 7, 0, 6, 15, 1, 17, 11, 4, 8, 5, 13, 16, 3, 9, 2, 19, 12, 10, 14]",5214,492,0,0,1,179197.34109999263,90060.71980000706,90060.71980000706
a8bec75ead3a9f18a6d4e99fa05aa5a2f4291ee289b47debf5533ec06dc18403,AR0307SR,mapf9_primary,2031,AR0307SR_n20_medium_000,cglps,True,success,0,"[18, 7, 0, 6, 15, 1, 17, 11, 4, 8, 5, 13, 16, 3, 9, 2, 19, 12, 10, 14]",5214,492,0,2,3,360801.6587999882,90060.71980000706,181537.05809998792
a8bec75ead3a9f18a6d4e99fa05aa5a2f4291ee289b47debf5533ec06dc18403,AR0307SR,mapf9_primary,2031,AR0307SR_n20_medium_000,ubls,True,success,0,"[18, 7, 0, 6, 15, 1, 17, 11, 4, 8, 5, 13, 16, 3, 9, 2, 19, 12, 10, 14]",5214,492,0,2,3,359900.43809998315,90060.71980000706,180703.09699999052
a8bec75ead3a9f18a6d4e99fa05aa5a2f4291ee289b47debf5533ec06dc18403,AR0307SR,mapf9_primary,2031,AR0307SR_n20_medium_001,spf,True,success,0,"[18, 5, 16, 9, 2, 8, 7, 1, 4, 13, 12, 17, 15, 3, 19, 11, 0, 10, 6, 14]",5498,501,0,0,1,243511.21409999905,123005.7788999984,123005.7788999984
a8bec75ead3a9f18a6d4e99fa05aa5a2f4291ee289b47debf5533ec06dc18403,AR0307SR,mapf9_primary,2031,AR0307SR_n20_medium_001,cglps,True,success,0,"[18, 5, 16, 9, 2, 8, 7, 1, 4, 13, 12, 17, 15, 3, 19, 11, 0, 10, 6, 14]",5498,501,0,2,3,488425.9127000405,123005.7788999984,244845.3130000271
a8bec75ead3a9f18a6d4e99fa05aa5a2f4291ee289b47debf5533ec06dc18403,AR0307SR,mapf9_primary,2031,AR0307SR_n20_medium_001,ubls,True,success,0,"[18, 5, 16, 9, 2, 8, 7, 1, 4, 13, 12, 17, 15, 3, 19, 11, 0, 10, 6, 14]",5498,501,0,2,3,488588.3959000057,123005.7788999984,245077.18180000666
a8bec75ead3a9f18a6d4e99fa05aa5a2f4291ee289b47debf5533ec06dc18403,AR0307SR,mapf9_primary,2031,AR0307SR_n20_medium_002,spf,True,success,0,"[3, 14, 18, 16, 13, 4, 17, 11, 15, 9, 1, 19, 6, 0, 10, 5, 2, 7, 8, 12]",4518,433,0,0,1,72592.20320000895,36635.10630000383,36635.10630000383
a8bec75ead3a9f18a6d4e99fa05aa5a2f4291ee289b47debf5533ec06dc18403,AR0307SR,mapf9_primary,2031,AR0307SR_n20_medium_002,cglps,True,success,2,"[3, 14, 18, 16, 13, 4, 17, 11, 12, 9, 1, 19, 6, 0, 10, 5, 2, 7, 8, 15]",4518,431,0,2,3,145705.66710003186,36635.10630000383,73054.44290002924
a8bec75ead3a9f18a6d4e99fa05aa5a2f4291ee289b47debf5533ec06dc18403,AR0307SR,mapf9_primary,2031,AR0307SR_n20_medium_002,ubls,True,success,0,"[3, 14, 18, 16, 13, 4, 17, 11, 15, 9, 1, 19, 6, 0, 10, 5, 2, 7, 8, 12]",4518,433,0,2,3,145627.06709999475,36635.10630000383,73034.8638999858
