map_name,catalogue_role,catalogue_seed,manifest_sha256,instance_id,agent_count,interaction_level,manifest_independent_conflict_count,manifest_conflicting_agent_pair_count,manifest_vertex_conflict_count,manifest_edge_conflict_count,manifest_independent_soc,manifest_independent_makespan,independent_conflict_count,conflicting_agent_pair_count,pair_event_counts_json,max_conflict_degree,spf_order_json,expected_a_i_from_manifest,actual_a_i,physical_pp_eval_count,budget_match_ok,preprocessing_success,termination_reason,error_message,independent_path_time_ms,conflict_detection_time_ms,spf_ordering_time_ms,baseline_spf_pp_time_ms,cglps_candidate_ranking_time_ms,cglps_additional_pp_time_ms,ubls_candidate_generation_time_ms,ubls_additional_pp_time_ms,physical_instance_wall_time_ms
AR0307SR,mapf9_primary,2031,a8bec75ead3a9f18a6d4e99fa05aa5a2f4291ee289b47debf5533ec06dc18403,AR0307SR_n10_high_001,10,high,78,3,77,1,3251,503,78,3,"{""0,2"": 76, ""4,8"": 1, ""7,9"": 1}",1,"[5, 0, 3, 2, 1, 8, 9, 6, 4, 7]",3,3,7,True,True,success,,95390.28789999429,17.467400000896305,0.006499991286545992,96712.63409999665,0.022100022761151195,296576.2689000112,0.052099989261478186,306896.1773000192,795722.4650999997
AR0307SR,mapf9_primary,2031,a8bec75ead3a9f18a6d4e99fa05aa5a2f4291ee289b47debf5533ec06dc18403,AR0307SR_n10_high_002,10,high,4,4,0,4,2288,497,4,4,"{""0,6"": 1, ""4,6"": 1, ""6,9"": 1, ""1,2"": 1}",3,"[5, 7, 0, 8, 4, 3, 2, 1, 6, 9]",4,4,9,True,True,success,,44873.70359999477,16.35520000127144,0.006600021151825786,45415.354700002354,0.018099992303177714,181973.1211999897,0.049700000090524554,181399.3335000123,453828.38049999555
AR0307SR,mapf9_primary,2031,a8bec75ead3a9f18a6d4e99fa05aa5a2f4291ee289b47debf5533ec06dc18403,AR0307SR_n10_low_000,10,low,0,0,0,0,2604,491,0,0,{},0,"[0, 7, 9, 5, 1, 8, 4, 3, 6, 2]",0,0,1,True,True,success,,43002.27219998487,16.16590001503937,0.006299989763647318,43572.61979999021,0.0035999983083456755,0,0.04230000195093453,0,86609.59490001551
AR0307SR,mapf9_primary,2031,a8bec75ead3a9f18a6d4e99fa05aa5a2f4291ee289b47debf5533ec06dc18403,AR0307SR_n10_low_001,10,low,0,0,0,0,1803,322,0,0,{},0,"[0, 2, 7, 9, 3, 5, 6, 4, 1, 8]",0,0,1,True,True,success,,7066.400700015947,10.392099997261539,0.00589998671784997,7151.583099999698,0.0025999906938523054,0,0.03530000685714185,0,14241.867400007322
AR0307SR,mapf9_primary,2031,a8bec75ead3a9f18a6d4e99fa05aa5a2f4291ee289b47debf5533ec06dc18403,AR0307SR_n10_low_002,10,low,0,0,0,0,2511,406,0,0,{},0,"[1, 3, 2, 8, 7, 0, 5, 4, 6, 9]",0,0,1,True,True,success,,31204.02470001136,13.807299983454868,0.006699992809444666,31520.672299986472,0.0037999998312443495,0,0.04290000651963055,0,62754.35709999874
AR0307SR,mapf9_primary,2031,a8bec75ead3a9f18a6d4e99fa05aa5a2f4291ee289b47debf5533ec06dc18403,AR0307SR_n10_medium_000,10,medium,2,2,2,0,2822,504,2,2,"{""6,9"": 1, ""6,7"": 1}",2,"[5, 7, 8, 3, 9, 6, 0, 2, 1, 4]",2,2,5,True,True,success,,59700.352200015914,17.72159998654388,0.006999995093792677,61121.33339999127,0.014699995517730713,124200.48110000789,0.05269999383017421,123916.3974999974,369048.2190999901
AR0307SR,mapf9_primary,2031,a8bec75ead3a9f18a6d4e99fa05aa5a2f4291ee289b47debf5533ec06dc18403,AR0307SR_n10_medium_001,10,medium,1,1,1,0,2219,480,1,1,"{""3,8"": 1}",1,"[8, 5, 2, 1, 6, 7, 3, 9, 4, 0]",1,1,3,True,True,success,,29483.43420002493,16.148800001246855,0.006200018106028438,30198.002699995413,0.01200000406242907,30006.64860001416,0.051499984692782164,29289.31650001323,119043.43099999824
AR0307SR,mapf9_primary,2031,a8bec75ead3a9f18a6d4e99fa05aa5a2f4291ee289b47debf5533ec06dc18403,AR0307SR_n10_medium_002,10,medium,1,1,1,0,2254,501,1,1,"{""2,7"": 1}",1,"[6, 3, 2, 0, 9, 1, 8, 7, 4, 5]",1,1,3,True,True,success,,39697.164400015026,16.608199977781624,0.007199996616691351,40544.78960001143,0.012100004823878407,48130.8466999908,0.05229999078437686,39680.90869998559,168123.5466999933
AR0307SR,mapf9_primary,2031,a8bec75ead3a9f18a6d4e99fa05aa5a2f4291ee289b47debf5533ec06dc18403,AR0307SR_n20_high_000,20,high,7,7,4,3,4413,510,7,7,"{""12,16"": 1, ""0,6"": 1, ""0,17"": 1, ""5,11"": 1, ""2,12"": 1, ""4,12"": 1, ""12,14"": 1}",4,"[19, 5, 6, 16, 10, 13, 7, 0, 4, 15, 1, 17, 3, 9, 8, 2, 18, 11, 12, 14]",4,4,9,True,True,success,,72795.40990001988,68.16649998654611,0.00790000194683671,73875.20379998023,0.01889999839477241,302615.9613999771,0.08440000237897038,299244.8440999724,749228.3415999846
AR0307SR,mapf9_primary,2031,a8bec75ead3a9f18a6d4e99fa05aa5a2f4291ee289b47debf5533ec06dc18403,AR0307SR_n20_high_001,20,high,9,9,7,2,6161,502,9,9,"{""7,19"": 1, ""8,9"": 1, ""6,9"": 1, ""16,19"": 1, ""1,19"": 1, ""14,19"": 1, ""4,19"": 1, ""0,10"": 1, ""7,10"": 1}",5,"[18, 15, 3, 5, 17, 11, 10, 13, 7, 4, 19, 1, 16, 8, 2, 12, 9, 0, 6, 14]",4,4,9,True,True,success,,104549.87720001373,71.13650004612282,0.008799979696050286,106431.16229999578,0.022099993657320738,423618.1891000015,0.08689999231137335,418286.21540000313,1053609.6305000247
AR0307SR,mapf9_primary,2031,a8bec75ead3a9f18a6d4e99fa05aa5a2f4291ee289b47debf5533ec06dc18403,AR0307SR_n20_high_002,20,high,5,5,4,1,5777,512,5,5,"{""8,11"": 1, ""7,8"": 1, ""8,18"": 1, ""6,15"": 1, ""8,13"": 1}",4,"[2, 10, 19, 1, 17, 12, 3, 16, 5, 9, 7, 11, 0, 4, 14, 18, 15, 13, 6, 8]",4,4,9,True,True,success,,138303.43339999672,71.35809998726472,0.009400013368576765,137913.152299996,0.020700012100860476,560299.9531000096,0.08310002158395946,565437.0596999361,1402680.908499984
AR0307SR,mapf9_primary,2031,a8bec75ead3a9f18a6d4e99fa05aa5a2f4291ee289b47debf5533ec06dc18403,AR0307SR_n20_low_000,20,low,0,0,0,0,3694,451,0,0,{},0,"[8, 1, 5, 0, 2, 17, 16, 14, 19, 10, 9, 15, 3, 6, 11, 4, 12, 13, 18, 7]",0,0,1,True,True,success,,50177.502199978335,60.831100010545924,0.008299975888803601,50808.36980001186,0.0046000059228390455,0,0.07360000745393336,0,101109.75649999455
AR0307SR,mapf9_primary,2031,a8bec75ead3a9f18a6d4e99fa05aa5a2f4291ee289b47debf5533ec06dc18403,AR0307SR_n20_low_001,20,low,0,0,0,0,3946,444,0,0,{},0,"[19, 15, 18, 7, 5, 13, 4, 10, 2, 3, 17, 16, 11, 6, 0, 8, 9, 14, 1, 12]",0,0,1,True,True,success,,25602.6802000124,59.09189998055808,0.00790000194683671,25970.531300001312,0.0042000028770416975,0,0.07259999983943999,0,51693.588800000725
AR0307SR,mapf9_primary,2031,a8bec75ead3a9f18a6d4e99fa05aa5a2f4291ee289b47debf5533ec06dc18403,AR0307SR_n20_low_002,20,low,0,0,0,0,4425,505,0,0,{},0,"[4, 11, 18, 8, 13, 17, 12, 7, 10, 2, 5, 9, 15, 0, 19, 1, 3, 6, 14, 16]",0,0,1,True,True,success,,80231.06269998243,68.89900000533089,0.00790000194683671,82688.08429999626,0.0043000036384910345,0,0.07939999341033399,0,163057.3330000043
AR0307SR,mapf9_primary,2031,a8bec75ead3a9f18a6d4e99fa05aa5a2f4291ee289b47debf5533ec06dc18403,AR0307SR_n20_medium_000,20,medium,2,2,2,0,5214,492,2,2,"{""5,8"": 1, ""2,5"": 1}",2,"[18, 7, 0, 6, 15, 1, 17, 11, 4, 8, 5, 13, 16, 3, 9, 2, 19, 12, 10, 14]",2,2,5,True,True,success,,89136.61289997981,67.25960000767373,0.008400005754083395,90060.71980000706,0.015700003132224083,181537.04239998478,0.08009999874047935,180703.01689999178,541841.5339000057
AR0307SR,mapf9_primary,2031,a8bec75ead3a9f18a6d4e99fa05aa5a2f4291ee289b47debf5533ec06dc18403,AR0307SR_n20_medium_001,20,medium,2,2,0,2,5498,501,2,2,"{""2,17"": 1, ""0,6"": 1}",1,"[18, 5, 16, 9, 2, 8, 7, 1, 4, 13, 12, 17, 15, 3, 19, 11, 0, 10, 6, 14]",2,2,5,True,True,success,,120505.42530001258,69.3856000143569,0.009899988071992993,123005.7788999984,0.015400000847876072,244845.29760002624,0.07989999721758068,245077.10190000944,733846.4566999755
AR0307SR,mapf9_primary,2031,a8bec75ead3a9f18a6d4e99fa05aa5a2f4291ee289b47debf5533ec06dc18403,AR0307SR_n20_medium_002,20,medium,2,2,2,0,4516,431,2,2,"{""11,13"": 1, ""12,15"": 1}",1,"[3, 14, 18, 16, 13, 4, 17, 11, 15, 9, 1, 19, 6, 0, 10, 5, 2, 7, 8, 12]",2,2,5,True,True,success,,35957.08910000394,59.02099999366328,0.007800001185387373,36635.10630000383,0.014600023860111833,73054.42830000538,0.07380000897683203,73034.79009997682,219038.5553999804
