algorithm,scenario_index,optimal_length,found,path_length,path_cost,visited_nodes,execution_time_ms,preprocessing_time_ms,abstract_nodes_visited,abstract_path_edge_count,refined_path_length,refined_path_cost,scanned_nodes,local_path_cache_hits,local_path_cache_misses,cache_hit_ratio,abstract_search_time_ms,refinement_time_ms,query_time_ms
HPA*,5,102.94112549,True,97,106.94112549695423,29,1.2303999974392354,574.7303000534885,29,15,97,106.94112549695423,,0,6,0.0,0.3361999988555908,0.006499991286545992,1.2122999760322273
HPA*,6,102.76955261,True,102,111.94112549695424,36,2.7738999924622476,574.7303000534885,36,17,102,111.94112549695424,,0,9,0.0,0.4428999964147806,0.007399998139590025,2.7544000186026096
HPA*,7,102.52691193,True,100,107.45584412271569,19,3.328300022985786,574.7303000534885,19,15,100,107.45584412271569,,0,8,0.0,0.3760000108741224,0.006999995093792677,3.3041000133380294
HPA*,8,103.49747467,True,92,106.08326112068521,24,2.0099999965168536,574.7303000534885,24,15,92,106.08326112068521,,0,7,0.0,0.3760000108741224,0.005099980626255274,1.989099953789264
HPA*,9,101.14213562,True,99,108.94112549695423,30,2.8039999888278544,574.7303000534885,30,13,99,108.94112549695423,,0,9,0.0,0.32110000029206276,0.004399975296109915,2.7894999948330224
HPA*,10,107.46803741,True,95,119.02438661763938,36,1.8632000428624451,574.7303000534885,36,19,95,119.02438661763938,,0,6,0.0,0.30480005079880357,0.006499991286545992,1.8403000431135297
HPA*,11,105.56854248,True,100,119.46803743153541,30,1.8814000068232417,574.7303000534885,30,17,100,119.46803743153541,,0,8,0.0,0.31380000291392207,0.005799985956400633,1.8583000055514276
HPA*,12,105.85281372,True,96,118.78174593052013,20,6.002100009936839,574.7303000534885,20,19,96,118.78174593052013,,0,10,0.0,0.41149999015033245,0.006799993570894003,5.971500009763986
HPA*,13,106.25483398,True,96,108.84062043356593,16,2.041500003542751,574.7303000534885,16,15,96,108.84062043356593,,0,8,0.0,0.3209999995306134,0.005799985956400633,2.0235999836586416
HPA*,14,107.68124084,True,87,110.61017305526633,26,2.9618999687954783,574.7303000534885,26,19,87,110.61017305526633,,0,10,0.0,0.34870003582909703,0.005499983672052622,2.9359000036492944
HPA*,15,106.53910522,True,94,112.63961030678921,21,1.2833999935537577,574.7303000534885,21,19,94,112.63961030678921,,0,6,0.0,0.31160004436969757,0.00689999433234334,1.2532999971881509
HPA*,16,106.19595947,True,100,123.6101730552663,83,1.4069000026211143,574.7303000534885,83,19,100,123.6101730552663,,0,6,0.0,0.46900002053007483,0.006999995093792677,1.376100000925362
HPA*,17,107.41421356,True,107,112.38477631085021,25,2.2344000171869993,574.7303000534885,25,13,107,112.38477631085021,,0,7,0.0,0.33220002660527825,0.005299982149153948,2.211500017438084
HPA*,18,104.07106781,True,102,111.52691193458114,16,3.1216999632306397,574.7303000534885,16,13,102,111.52691193458114,,0,8,0.0,0.7054999587126076,0.013699987903237343,3.068599966354668
HPA*,19,104.29646454,True,95,114.0538238691623,28,1.292400003876537,574.7303000534885,28,17,95,114.0538238691623,,0,5,0.0,0.31780003337189555,0.006599992047995329,1.2697000056505203
