manifest_sha256,map_name,catalogue_seed,instance_id,agent_count,interaction_level,actual_a_i,search_active,manifest_independent_conflict_count,manifest_conflicting_agent_pair_count,max_conflict_degree,spf_success,cglps_success,ubls_success,recovered_by_cglps,recovered_by_ubls,unrecovered,spf_soc,spf_makespan,cglps_soc,cglps_makespan,ubls_soc,ubls_makespan,cglps_selected_candidate_id,ubls_selected_candidate_id,cglps_soc_improvement_vs_spf,ubls_soc_improvement_vs_spf,cglps_makespan_only_vs_spf,ubls_makespan_only_vs_spf,cglps_lex_vs_spf,ubls_lex_vs_spf,cglps_vs_ubls_soc_diff,cglps_vs_ubls_lex,spf_logical_runtime_ms,cglps_logical_runtime_ms,ubls_logical_runtime_ms,physical_instance_wall_time_ms
14964ee449b826c6280299f68a6cfc0cc42d34f3045d87070971027009dbb71c,AR0400SR,2030,AR0400SR_n10_high_002,10,high,3,True,3,3,2,True,True,True,False,False,False,3519,494,3519,494,3519,494,0,0,0,0,False,False,equal,equal,0,equal,88264.19719998376,221415.36059998907,221609.50920003233,354885.5474999873
14964ee449b826c6280299f68a6cfc0cc42d34f3045d87070971027009dbb71c,AR0400SR,2030,AR0400SR_n10_low_000,10,low,0,False,0,0,0,True,True,True,False,False,False,2233,481,2233,481,2233,481,0,0,0,0,False,False,equal,equal,0,equal,84102.13750001276,84117.80830001226,84102.18439999153,84136.14689998212
14964ee449b826c6280299f68a6cfc0cc42d34f3045d87070971027009dbb71c,AR0400SR,2030,AR0400SR_n10_low_001,10,low,0,False,0,0,0,True,True,True,False,False,False,2617,487,2617,487,2617,487,0,0,0,0,False,False,equal,equal,0,equal,108232.64720002771,108248.6461000226,108232.69550004625,108266.73740000115
14964ee449b826c6280299f68a6cfc0cc42d34f3045d87070971027009dbb71c,AR0400SR,2030,AR0400SR_n10_low_002,10,low,0,False,0,0,0,True,True,True,False,False,False,2925,511,2925,511,2925,511,0,0,0,0,False,False,equal,equal,0,equal,116861.14410002483,116878.52720002411,116861.18770000758,116899.05939999153
14964ee449b826c6280299f68a6cfc0cc42d34f3045d87070971027009dbb71c,AR0400SR,2030,AR0400SR_n10_medium_000,10,medium,1,True,1,1,1,True,True,True,False,False,False,3144,507,3144,507,3144,507,0,0,0,0,False,False,equal,equal,0,equal,135476.9557999971,203806.4269000024,203531.87130004517,271919.07910001464
14964ee449b826c6280299f68a6cfc0cc42d34f3045d87070971027009dbb71c,AR0400SR,2030,AR0400SR_n10_medium_001,10,medium,1,True,1,1,1,True,True,True,False,False,False,2939,488,2939,488,2939,488,0,0,0,0,False,False,equal,equal,0,equal,115856.15440001129,173848.54589999304,174033.06890002568,232082.41800000542
14964ee449b826c6280299f68a6cfc0cc42d34f3045d87070971027009dbb71c,AR0400SR,2030,AR0400SR_n10_medium_002,10,medium,1,True,1,1,1,True,True,True,False,False,False,2376,494,2376,494,2376,494,0,0,0,0,False,False,equal,equal,0,equal,41368.399800005136,62600.76699996716,62167.184899997665,83453.33089999622
14964ee449b826c6280299f68a6cfc0cc42d34f3045d87070971027009dbb71c,AR0400SR,2030,AR0400SR_n20_high_000,20,high,4,True,270,4,2,True,True,True,False,False,False,6807,508,6807,508,6807,508,0,0,0,0,False,False,equal,equal,0,equal,212653.5012999666,652220.1070999436,643062.0981999382,1083290.5092000146
14964ee449b826c6280299f68a6cfc0cc42d34f3045d87070971027009dbb71c,AR0400SR,2030,AR0400SR_n20_high_001,20,high,4,True,8,8,4,True,True,True,False,False,False,6491,503,6491,503,6491,503,0,0,0,0,False,False,equal,equal,0,equal,248353.15400001127,747952.5330000324,747065.820000018,1247307.5040999975
14964ee449b826c6280299f68a6cfc0cc42d34f3045d87070971027009dbb71c,AR0400SR,2030,AR0400SR_n20_high_002,20,high,3,True,3,3,2,True,True,True,False,False,False,5826,470,5826,470,5826,470,0,0,0,0,False,False,equal,equal,0,equal,81943.51939996704,206572.94299994828,206558.2684999681,331646.81649999693
14964ee449b826c6280299f68a6cfc0cc42d34f3045d87070971027009dbb71c,AR0400SR,2030,AR0400SR_n20_low_000,20,low,0,False,0,0,0,True,True,True,False,False,False,4904,481,4904,481,4904,481,0,0,0,0,False,False,equal,equal,0,equal,114809.80560000171,114877.54180000047,114809.87790002837,114945.06030000048
14964ee449b826c6280299f68a6cfc0cc42d34f3045d87070971027009dbb71c,AR0400SR,2030,AR0400SR_n20_low_001,20,low,0,False,0,0,0,True,True,True,False,False,False,5156,465,5156,465,5156,465,0,0,0,0,False,False,equal,equal,0,equal,339660.72480002185,339726.0696000012,339660.8320999949,339797.3536000063
14964ee449b826c6280299f68a6cfc0cc42d34f3045d87070971027009dbb71c,AR0400SR,2030,AR0400SR_n20_low_002,20,low,0,False,0,0,0,True,True,True,False,False,False,5457,473,5457,473,5457,473,0,0,0,0,False,False,equal,equal,0,equal,108736.58170000999,108803.90659999102,108736.64529999951,108872.58960001054
14964ee449b826c6280299f68a6cfc0cc42d34f3045d87070971027009dbb71c,AR0400SR,2030,AR0400SR_n20_medium_000,20,medium,1,True,1,1,1,True,True,True,False,False,False,5410,501,5410,501,5410,501,0,0,0,0,False,False,equal,equal,0,equal,269037.4327999889,406159.7719999845,403326.1208999611,540663.5757000186
14964ee449b826c6280299f68a6cfc0cc42d34f3045d87070971027009dbb71c,AR0400SR,2030,AR0400SR_n20_medium_001,20,medium,2,True,2,2,2,True,True,True,False,False,False,5644,512,5644,512,5644,512,0,0,0,0,False,False,equal,equal,0,equal,320832.6405999542,659479.0362999483,646723.4710999473,985733.5491999984
14964ee449b826c6280299f68a6cfc0cc42d34f3045d87070971027009dbb71c,AR0400SR,2030,AR0400SR_n20_medium_002,20,medium,1,True,1,1,1,True,True,True,False,False,False,4393,444,4393,444,4393,444,0,0,0,0,False,False,equal,equal,0,equal,104921.85590000008,160387.22520001465,159691.79120004992,215341.574399994
