manifest_sha256,map_name,instance_id,method,candidate_id,agent_order,success,soc,makespan,pair_conflict_event_count,matches_cglps_candidate_order,selected
14964ee449b826c6280299f68a6cfc0cc42d34f3045d87070971027009dbb71c,AR0400SR,AR0400SR_n10_low_002,ubls,0,"[8, 7, 3, 2, 9, 0, 4, 6, 5, 1]",True,2925,511,,False,True
14964ee449b826c6280299f68a6cfc0cc42d34f3045d87070971027009dbb71c,AR0400SR,AR0400SR_n10_medium_000,cglps,0,"[3, 0, 8, 2, 6, 7, 4, 5, 9, 1]",True,3144,507,,False,True
14964ee449b826c6280299f68a6cfc0cc42d34f3045d87070971027009dbb71c,AR0400SR,AR0400SR_n10_medium_000,cglps,1,"[3, 1, 8, 2, 6, 7, 4, 5, 9, 0]",True,3146,507,1,True,False
14964ee449b826c6280299f68a6cfc0cc42d34f3045d87070971027009dbb71c,AR0400SR,AR0400SR_n10_medium_000,ubls,0,"[3, 0, 8, 2, 6, 7, 4, 5, 9, 1]",True,3144,507,,False,True
14964ee449b826c6280299f68a6cfc0cc42d34f3045d87070971027009dbb71c,AR0400SR,AR0400SR_n10_medium_000,ubls,1,"[3, 0, 1, 2, 6, 7, 4, 5, 9, 8]",True,3144,507,,False,False
14964ee449b826c6280299f68a6cfc0cc42d34f3045d87070971027009dbb71c,AR0400SR,AR0400SR_n10_medium_001,cglps,0,"[0, 2, 5, 7, 8, 6, 9, 4, 3, 1]",True,2939,488,,False,True
14964ee449b826c6280299f68a6cfc0cc42d34f3045d87070971027009dbb71c,AR0400SR,AR0400SR_n10_medium_001,cglps,1,"[0, 2, 5, 7, 8, 6, 9, 3, 4, 1]",True,2939,488,1,True,False
14964ee449b826c6280299f68a6cfc0cc42d34f3045d87070971027009dbb71c,AR0400SR,AR0400SR_n10_medium_001,ubls,0,"[0, 2, 5, 7, 8, 6, 9, 4, 3, 1]",True,2939,488,,False,True
14964ee449b826c6280299f68a6cfc0cc42d34f3045d87070971027009dbb71c,AR0400SR,AR0400SR_n10_medium_001,ubls,1,"[0, 2, 5, 7, 8, 6, 1, 4, 3, 9]",True,2939,488,,False,False
14964ee449b826c6280299f68a6cfc0cc42d34f3045d87070971027009dbb71c,AR0400SR,AR0400SR_n10_medium_002,cglps,0,"[9, 7, 0, 3, 1, 8, 2, 4, 6, 5]",True,2376,494,,False,True
14964ee449b826c6280299f68a6cfc0cc42d34f3045d87070971027009dbb71c,AR0400SR,AR0400SR_n10_medium_002,cglps,1,"[9, 7, 0, 3, 1, 8, 2, 4, 5, 6]",True,2377,493,1,True,False
14964ee449b826c6280299f68a6cfc0cc42d34f3045d87070971027009dbb71c,AR0400SR,AR0400SR_n10_medium_002,ubls,0,"[9, 7, 0, 3, 1, 8, 2, 4, 6, 5]",True,2376,494,,False,True
14964ee449b826c6280299f68a6cfc0cc42d34f3045d87070971027009dbb71c,AR0400SR,AR0400SR_n10_medium_002,ubls,1,"[9, 7, 4, 3, 1, 8, 2, 0, 6, 5]",True,2376,494,,False,False
14964ee449b826c6280299f68a6cfc0cc42d34f3045d87070971027009dbb71c,AR0400SR,AR0400SR_n20_high_000,cglps,0,"[3, 7, 13, 5, 12, 1, 9, 0, 17, 19, 8, 18, 16, 11, 2, 15, 6, 4, 10, 14]",True,6807,508,,False,True
14964ee449b826c6280299f68a6cfc0cc42d34f3045d87070971027009dbb71c,AR0400SR,AR0400SR_n20_high_000,cglps,1,"[3, 7, 13, 5, 12, 1, 9, 0, 17, 19, 6, 18, 16, 11, 2, 15, 8, 4, 10, 14]",True,6807,508,267,True,False
14964ee449b826c6280299f68a6cfc0cc42d34f3045d87070971027009dbb71c,AR0400SR,AR0400SR_n20_high_000,cglps,2,"[3, 7, 13, 5, 12, 1, 9, 0, 17, 19, 8, 18, 16, 4, 2, 15, 6, 11, 10, 14]",True,6807,508,1,True,False
14964ee449b826c6280299f68a6cfc0cc42d34f3045d87070971027009dbb71c,AR0400SR,AR0400SR_n20_high_000,cglps,3,"[3, 7, 13, 5, 12, 1, 9, 0, 17, 4, 8, 18, 16, 11, 2, 15, 6, 19, 10, 14]",True,6836,508,1,True,False
14964ee449b826c6280299f68a6cfc0cc42d34f3045d87070971027009dbb71c,AR0400SR,AR0400SR_n20_high_000,cglps,4,"[3, 7, 13, 5, 12, 1, 9, 0, 17, 11, 8, 18, 16, 19, 2, 15, 6, 4, 10, 14]",True,6836,508,1,True,False
14964ee449b826c6280299f68a6cfc0cc42d34f3045d87070971027009dbb71c,AR0400SR,AR0400SR_n20_high_000,ubls,0,"[3, 7, 13, 5, 12, 1, 9, 0, 17, 19, 8, 18, 16, 11, 2, 15, 6, 4, 10, 14]",True,6807,508,,False,True
14964ee449b826c6280299f68a6cfc0cc42d34f3045d87070971027009dbb71c,AR0400SR,AR0400SR_n20_high_000,ubls,1,"[3, 7, 13, 5, 12, 14, 9, 0, 17, 19, 8, 18, 16, 11, 2, 15, 6, 4, 10, 1]",True,6807,508,,False,False
14964ee449b826c6280299f68a6cfc0cc42d34f3045d87070971027009dbb71c,AR0400SR,AR0400SR_n20_high_000,ubls,2,"[3, 7, 13, 5, 12, 1, 9, 0, 17, 19, 8, 16, 18, 11, 2, 15, 6, 4, 10, 14]",True,6807,508,,False,False
14964ee449b826c6280299f68a6cfc0cc42d34f3045d87070971027009dbb71c,AR0400SR,AR0400SR_n20_high_000,ubls,3,"[3, 7, 13, 5, 12, 1, 9, 0, 17, 19, 8, 18, 16, 11, 2, 15, 4, 6, 10, 14]",True,6807,508,,False,False
14964ee449b826c6280299f68a6cfc0cc42d34f3045d87070971027009dbb71c,AR0400SR,AR0400SR_n20_high_000,ubls,4,"[17, 7, 13, 5, 12, 1, 9, 0, 3, 19, 8, 18, 16, 11, 2, 15, 6, 4, 10, 14]",True,6807,508,,False,False
14964ee449b826c6280299f68a6cfc0cc42d34f3045d87070971027009dbb71c,AR0400SR,AR0400SR_n20_high_001,cglps,0,"[19, 13, 16, 17, 10, 12, 7, 0, 15, 3, 6, 2, 4, 1, 9, 14, 8, 5, 18, 11]",True,6491,503,,False,True
14964ee449b826c6280299f68a6cfc0cc42d34f3045d87070971027009dbb71c,AR0400SR,AR0400SR_n20_high_001,cglps,1,"[19, 13, 16, 17, 10, 12, 7, 0, 15, 3, 6, 2, 4, 9, 1, 14, 8, 5, 18, 11]",True,6491,503,1,True,False
14964ee449b826c6280299f68a6cfc0cc42d34f3045d87070971027009dbb71c,AR0400SR,AR0400SR_n20_high_001,cglps,2,"[19, 13, 16, 17, 10, 12, 7, 0, 15, 3, 6, 2, 4, 11, 9, 14, 8, 5, 18, 1]",True,6491,503,1,True,False
14964ee449b826c6280299f68a6cfc0cc42d34f3045d87070971027009dbb71c,AR0400SR,AR0400SR_n20_high_001,cglps,3,"[19, 13, 16, 17, 10, 12, 7, 0, 15, 3, 6, 2, 4, 14, 9, 1, 8, 5, 18, 11]",True,6491,503,1,True,False
14964ee449b826c6280299f68a6cfc0cc42d34f3045d87070971027009dbb71c,AR0400SR,AR0400SR_n20_high_001,cglps,4,"[19, 13, 16, 17, 10, 12, 7, 0, 15, 3, 6, 2, 4, 18, 9, 14, 8, 5, 1, 11]",True,6491,503,1,True,False
14964ee449b826c6280299f68a6cfc0cc42d34f3045d87070971027009dbb71c,AR0400SR,AR0400SR_n20_high_001,ubls,0,"[19, 13, 16, 17, 10, 12, 7, 0, 15, 3, 6, 2, 4, 1, 9, 14, 8, 5, 18, 11]",True,6491,503,,False,True
14964ee449b826c6280299f68a6cfc0cc42d34f3045d87070971027009dbb71c,AR0400SR,AR0400SR_n20_high_001,ubls,1,"[19, 13, 16, 17, 10, 12, 7, 0, 15, 3, 5, 2, 4, 1, 9, 14, 8, 6, 18, 11]",True,6491,503,,False,False
14964ee449b826c6280299f68a6cfc0cc42d34f3045d87070971027009dbb71c,AR0400SR,AR0400SR_n20_high_001,ubls,2,"[19, 13, 16, 17, 10, 12, 7, 0, 15, 3, 6, 2, 4, 1, 18, 14, 8, 5, 9, 11]",True,6491,503,,False,False
