map_name,catalogue_role,catalogue_seed,manifest_sha256,instance_id,agent_count,interaction_level,manifest_independent_conflict_count,manifest_conflicting_agent_pair_count,manifest_vertex_conflict_count,manifest_edge_conflict_count,manifest_independent_soc,manifest_independent_makespan,independent_conflict_count,conflicting_agent_pair_count,pair_event_counts_json,max_conflict_degree,spf_order_json,expected_a_i_from_manifest,actual_a_i,physical_pp_eval_count,budget_match_ok,preprocessing_success,termination_reason,error_message,independent_path_time_ms,conflict_detection_time_ms,spf_ordering_time_ms,baseline_spf_pp_time_ms,cglps_candidate_ranking_time_ms,cglps_additional_pp_time_ms,ubls_candidate_generation_time_ms,ubls_additional_pp_time_ms,physical_instance_wall_time_ms
AR0400SR,mapf9_primary,2030,14964ee449b826c6280299f68a6cfc0cc42d34f3045d87070971027009dbb71c,AR0400SR_n10_high_001,10,high,3,3,1,2,2828,511,3,3,"{""3,5"": 1, ""3,9"": 1, ""8,9"": 1}",2,"[7, 6, 2, 4, 5, 8, 0, 3, 9, 1]",3,3,7,True,True,success,,55994.416700006695,17.06980000017211,0.007199996616691351,56533.43540002243,0.019799976143985987,170937.13770003524,0.05669999518431723,170678.80100000184,454287.10459999274
AR0400SR,mapf9_primary,2030,14964ee449b826c6280299f68a6cfc0cc42d34f3045d87070971027009dbb71c,AR0400SR_n10_high_002,10,high,3,3,2,1,3519,494,3,3,"{""2,4"": 1, ""3,8"": 1, ""3,9"": 1}",2,"[0, 1, 4, 7, 9, 6, 5, 2, 8, 3]",3,3,7,True,True,success,,43924.35730001307,17.31999998446554,0.006799993570894003,44339.83309997711,0.01680001150816679,133133.82660000934,0.054500007536262274,133345.25750004104,354885.5474999873
AR0400SR,mapf9_primary,2030,14964ee449b826c6280299f68a6cfc0cc42d34f3045d87070971027009dbb71c,AR0400SR_n10_low_000,10,low,0,0,0,0,2233,481,0,0,{},0,"[7, 6, 5, 3, 9, 2, 1, 8, 4, 0]",0,0,1,True,True,success,,41029.329899989534,15.66649999585934,0.006200018106028438,43072.80140000512,0.0043000036384910345,0,0.04689997876994312,0,84136.14689998212
AR0400SR,mapf9_primary,2030,14964ee449b826c6280299f68a6cfc0cc42d34f3045d87070971027009dbb71c,AR0400SR_n10_low_001,10,low,0,0,0,0,2617,487,0,0,{},0,"[8, 2, 5, 6, 7, 1, 3, 9, 0, 4]",0,0,1,True,True,success,,53101.81170000578,15.99389998591505,0.006600021151825786,55130.82890000078,0.0050000089686363935,0,0.04830001853406429,0,108266.73740000115
AR0400SR,mapf9_primary,2030,14964ee449b826c6280299f68a6cfc0cc42d34f3045d87070971027009dbb71c,AR0400SR_n10_low_002,10,low,0,0,0,0,2925,511,0,0,{},0,"[8, 7, 3, 2, 9, 0, 4, 6, 5, 1]",0,0,1,True,True,success,,58140.27899998473,17.37899999716319,0.006200018106028438,58720.858900021994,0.0041000021155923605,0,0.043599982745945454,0,116899.05939999153
AR0400SR,mapf9_primary,2030,14964ee449b826c6280299f68a6cfc0cc42d34f3045d87070971027009dbb71c,AR0400SR_n10_medium_000,10,medium,1,1,1,0,3144,507,1,1,"{""0,1"": 1}",1,"[3, 0, 8, 2, 6, 7, 4, 5, 9, 1]",1,1,3,True,True,success,,67421.97220001253,18.24870001291856,0.007299997378140688,68054.97629998717,0.012100004823878407,68311.21029998758,0.05240002064965665,68054.86310002743,271919.07910001464
AR0400SR,mapf9_primary,2030,14964ee449b826c6280299f68a6cfc0cc42d34f3045d87070971027009dbb71c,AR0400SR_n10_medium_001,10,medium,1,1,1,0,2939,488,1,1,"{""3,4"": 1}",1,"[0, 2, 5, 7, 8, 6, 9, 4, 3, 1]",1,1,3,True,True,success,,57582.650500000454,16.408299998147413,0.005400012014433742,58273.49849999882,0.027300004148855805,57975.95589997945,0.047900015488266945,58176.8665999989,232082.41800000542
AR0400SR,mapf9_primary,2030,14964ee449b826c6280299f68a6cfc0cc42d34f3045d87070971027009dbb71c,AR0400SR_n10_medium_002,10,medium,1,1,1,0,2375,493,1,1,"{""5,6"": 1}",1,"[9, 7, 0, 3, 1, 8, 2, 4, 6, 5]",1,1,3,True,True,success,,20534.222599992063,16.14969997899607,0.009000010322779417,20834.16820000275,0.011600001016631722,21216.205899982015,0.05060000694356859,20798.734499985585,83453.33089999622
AR0400SR,mapf9_primary,2030,14964ee449b826c6280299f68a6cfc0cc42d34f3045d87070971027009dbb71c,AR0400SR_n20_high_000,20,high,270,4,268,2,6806,508,270,4,"{""6,8"": 267, ""4,19"": 1, ""4,11"": 1, ""11,19"": 1}",2,"[3, 7, 13, 5, 12, 1, 9, 0, 17, 19, 8, 18, 16, 11, 2, 15, 6, 4, 10, 14]",4,4,9,True,True,success,,105237.30189999333,71.4299000101164,0.00869997893460095,107416.19069999433,0.018799997633323073,439495.1570999692,0.08450000314041972,430408.51239996846,1083290.5092000146
AR0400SR,mapf9_primary,2030,14964ee449b826c6280299f68a6cfc0cc42d34f3045d87070971027009dbb71c,AR0400SR_n20_high_001,20,high,8,8,3,5,6491,503,8,8,"{""4,11"": 1, ""4,9"": 1, ""6,18"": 1, ""1,11"": 1, ""1,9"": 1, ""1,18"": 1, ""1,14"": 1, ""4,16"": 1}",4,"[19, 13, 16, 17, 10, 12, 7, 0, 15, 3, 6, 2, 4, 1, 9, 14, 8, 5, 18, 11]",4,4,9,True,True,success,,122957.19730001292,70.7721000071615,0.00790000194683671,125395.9487999964,0.020899984519928694,499528.58600002946,0.10569998994469643,498712.5603000168,1247307.5040999975
AR0400SR,mapf9_primary,2030,14964ee449b826c6280299f68a6cfc0cc42d34f3045d87070971027009dbb71c,AR0400SR_n20_high_002,20,high,3,3,1,2,5826,470,3,3,"{""5,16"": 1, ""1,4"": 1, ""4,18"": 1}",2,"[6, 2, 15, 10, 1, 9, 8, 13, 19, 14, 11, 12, 3, 7, 5, 18, 4, 17, 0, 16]",3,3,7,True,True,success,,40699.73210000899,64.64199998299591,0.008299975888803601,41243.77899998217,0.016400008462369442,124564.76519998978,0.07229999755509198,124614.67680000351,331646.81649999693
AR0400SR,mapf9_primary,2030,14964ee449b826c6280299f68a6cfc0cc42d34f3045d87070971027009dbb71c,AR0400SR_n20_low_000,20,low,0,0,0,0,4904,481,0,0,{},0,"[1, 3, 12, 4, 7, 9, 15, 10, 19, 11, 2, 5, 8, 16, 0, 13, 17, 14, 18, 6]",0,0,1,True,True,success,,56756.202199991094,67.72210000781342,0.008100003469735384,58053.595300007146,0.01409999094903469,0,0.07230002665892243,0,114945.06030000048
AR0400SR,mapf9_primary,2030,14964ee449b826c6280299f68a6cfc0cc42d34f3045d87070971027009dbb71c,AR0400SR_n20_low_001,20,low,0,0,0,0,5156,465,0,0,{},0,"[17, 6, 7, 14, 0, 18, 9, 15, 1, 3, 11, 8, 19, 2, 13, 4, 12, 10, 16, 5]",0,0,1,True,True,success,,168133.94770000014,65.34029997419566,0.009500014130026102,171526.7676000076,0.0045000051613897085,0,0.10729997302405536,0,339797.3536000063
AR0400SR,mapf9_primary,2030,14964ee449b826c6280299f68a6cfc0cc42d34f3045d87070971027009dbb71c,AR0400SR_n20_low_002,20,low,0,0,0,0,5457,473,0,0,{},0,"[19, 15, 6, 7, 5, 16, 1, 3, 8, 18, 13, 10, 17, 12, 14, 11, 2, 4, 0, 9]",0,0,1,True,True,success,,54286.37839999283,67.32149998424575,0.008500006515532732,54450.19480001065,0.0033999967854470015,0,0.06359998951666057,0,108872.58960001054
AR0400SR,mapf9_primary,2030,14964ee449b826c6280299f68a6cfc0cc42d34f3045d87070971027009dbb71c,AR0400SR_n20_medium_000,20,medium,1,1,0,1,5410,501,1,1,"{""13,19"": 1}",1,"[7, 15, 8, 16, 9, 17, 6, 2, 12, 14, 13, 19, 10, 1, 0, 5, 3, 11, 4, 18]",1,1,3,True,True,success,,132497.18149998807,69.59090000600554,0.01069999416358769,136540.24060000665,0.010099989594891667,137052.73820000002,0.08789999992586672,134288.60019997228,540663.5757000186
AR0400SR,mapf9_primary,2030,14964ee449b826c6280299f68a6cfc0cc42d34f3045d87070971027009dbb71c,AR0400SR_n20_medium_001,20,medium,2,2,1,1,5644,512,2,2,"{""11,14"": 1, ""3,14"": 1}",2,"[8, 5, 19, 17, 3, 16, 6, 12, 10, 15, 1, 2, 11, 0, 13, 4, 14, 7, 9, 18]",2,2,5,True,True,success,,158862.07079997985,71.62550001521595,0.008499977411702275,161970.56129999692,0.014999997802078724,338574.75519998115,0.08159998105838895,325890.7489000121,985733.5491999984
AR0400SR,mapf9_primary,2030,14964ee449b826c6280299f68a6cfc0cc42d34f3045d87070971027009dbb71c,AR0400SR_n20_medium_002,20,medium,1,1,1,0,4393,444,1,1,"{""6,10"": 1}",1,"[19, 1, 12, 2, 11, 9, 7, 5, 3, 17, 4, 13, 8, 16, 14, 6, 15, 0, 10, 18]",1,1,3,True,True,success,,52139.56670000334,60.38860001717694,0.00799997360445559,52782.281200023135,0.012999982573091984,55404.96770001482,0.07590002496726811,54769.85940002487,215341.574399994
