strategy,deterministic_soc,random_runs_lower_soc_count,random_runs_equal_soc_count,random_runs_higher_soc_count,deterministic_vs_random_mean_soc_diff,deterministic_vs_random_median_soc_diff,deterministic_vs_random_sampled_best_of_k_soc_diff,instance_id,agent_count,interaction_level,random_soc_mean,random_soc_median,random_sampled_best_of_k_soc,sampled_best_of_k_note
fixed,3415,0,7,3,-12.900000000000091,0.0,0,AR0204SR_n10_high_002,10,high,3427.9,3415.0,3415,sampled best-of-K diagnostic; not the primary Random baseline
spf,3415,0,7,3,-12.900000000000091,0.0,0,AR0204SR_n10_high_002,10,high,3427.9,3415.0,3415,sampled best-of-K diagnostic; not the primary Random baseline
lpf,3458,7,3,0,30.09999999999991,43.0,43,AR0204SR_n10_high_002,10,high,3427.9,3415.0,3415,sampled best-of-K diagnostic; not the primary Random baseline
fixed,5607,0,10,0,0,0.0,0,AR0204SR_n20_low_000,20,low,5607,5607.0,5607,sampled best-of-K diagnostic; not the primary Random baseline
spf,5607,0,10,0,0,0.0,0,AR0204SR_n20_low_000,20,low,5607,5607.0,5607,sampled best-of-K diagnostic; not the primary Random baseline
lpf,5607,0,10,0,0,0.0,0,AR0204SR_n20_low_000,20,low,5607,5607.0,5607,sampled best-of-K diagnostic; not the primary Random baseline
fixed,5969,0,10,0,0,0.0,0,AR0204SR_n20_low_001,20,low,5969,5969.0,5969,sampled best-of-K diagnostic; not the primary Random baseline
spf,5969,0,10,0,0,0.0,0,AR0204SR_n20_low_001,20,low,5969,5969.0,5969,sampled best-of-K diagnostic; not the primary Random baseline
lpf,5969,0,10,0,0,0.0,0,AR0204SR_n20_low_001,20,low,5969,5969.0,5969,sampled best-of-K diagnostic; not the primary Random baseline
fixed,4726,0,10,0,0,0.0,0,AR0204SR_n20_low_002,20,low,4726,4726.0,4726,sampled best-of-K diagnostic; not the primary Random baseline
spf,4726,0,10,0,0,0.0,0,AR0204SR_n20_low_002,20,low,4726,4726.0,4726,sampled best-of-K diagnostic; not the primary Random baseline
lpf,4726,0,10,0,0,0.0,0,AR0204SR_n20_low_002,20,low,4726,4726.0,4726,sampled best-of-K diagnostic; not the primary Random baseline
fixed,5192,4,6,0,0.8000000000001819,0.0,2,AR0204SR_n20_medium_000,20,medium,5191.2,5192.0,5190,sampled best-of-K diagnostic; not the primary Random baseline
spf,5192,4,6,0,0.8000000000001819,0.0,2,AR0204SR_n20_medium_000,20,medium,5191.2,5192.0,5190,sampled best-of-K diagnostic; not the primary Random baseline
lpf,5190,0,4,6,-1.199999999999818,-2.0,0,AR0204SR_n20_medium_000,20,medium,5191.2,5192.0,5190,sampled best-of-K diagnostic; not the primary Random baseline
fixed,5428,0,10,0,0,0.0,0,AR0204SR_n20_medium_001,20,medium,5428,5428.0,5428,sampled best-of-K diagnostic; not the primary Random baseline
spf,5428,0,10,0,0,0.0,0,AR0204SR_n20_medium_001,20,medium,5428,5428.0,5428,sampled best-of-K diagnostic; not the primary Random baseline
lpf,5428,0,10,0,0,0.0,0,AR0204SR_n20_medium_001,20,medium,5428,5428.0,5428,sampled best-of-K diagnostic; not the primary Random baseline
fixed,5565,0,10,0,0,0.0,0,AR0204SR_n20_medium_002,20,medium,5565,5565.0,5565,sampled best-of-K diagnostic; not the primary Random baseline
spf,5565,0,10,0,0,0.0,0,AR0204SR_n20_medium_002,20,medium,5565,5565.0,5565,sampled best-of-K diagnostic; not the primary Random baseline
lpf,5565,0,10,0,0,0.0,0,AR0204SR_n20_medium_002,20,medium,5565,5565.0,5565,sampled best-of-K diagnostic; not the primary Random baseline
fixed,4918,0,10,0,0,0.0,0,AR0204SR_n20_high_000,20,high,4918,4918.0,4918,sampled best-of-K diagnostic; not the primary Random baseline
spf,4918,0,10,0,0,0.0,0,AR0204SR_n20_high_000,20,high,4918,4918.0,4918,sampled best-of-K diagnostic; not the primary Random baseline
lpf,4918,0,10,0,0,0.0,0,AR0204SR_n20_high_000,20,high,4918,4918.0,4918,sampled best-of-K diagnostic; not the primary Random baseline
fixed,5461,3,7,0,162,0.0,719,AR0204SR_n20_high_001,20,high,5299,5461.0,4742,sampled best-of-K diagnostic; not the primary Random baseline
spf,4742,0,1,9,-557,-719.0,0,AR0204SR_n20_high_001,20,high,5299,5461.0,4742,sampled best-of-K diagnostic; not the primary Random baseline
lpf,5461,3,7,0,162,0.0,719,AR0204SR_n20_high_001,20,high,5299,5461.0,4742,sampled best-of-K diagnostic; not the primary Random baseline
fixed,4829,0,10,0,0,0.0,0,AR0204SR_n20_high_002,20,high,4829,4829.0,4829,sampled best-of-K diagnostic; not the primary Random baseline
spf,4829,0,10,0,0,0.0,0,AR0204SR_n20_high_002,20,high,4829,4829.0,4829,sampled best-of-K diagnostic; not the primary Random baseline
lpf,4829,0,10,0,0,0.0,0,AR0204SR_n20_high_002,20,high,4829,4829.0,4829,sampled best-of-K diagnostic; not the primary Random baseline
