map_name,instance_id,agent_count,interaction_level,catalogue_seed,manifest_sha256,spf_soc,cdf_h_soc,cdf_l_soc,spf_cd_soc,spf_makespan,cdf_h_makespan,cdf_l_makespan,spf_cd_makespan,soc_range,makespan_range,mapf7_three_strategy_soc_range,soc_sensitive,makespan_sensitive,mapf7_three_strategy_soc_sensitive,independent_conflict_count,independent_conflict_pair_count,max_degree,mean_degree,degree_zero_count,distinct_degree_count,degree_stddev,spf_agent_order,cdf_h_original_index_order,cdf_l_original_index_order,spf_cd_original_index_order,spf_cd_same_order,cdf_h_same_order_as_spf,cdf_l_same_order_as_spf,spf_cd_soc_equal,spf_cd_makespan_equal,cdf_h_order_diff_no_soc_diff,cdf_l_order_diff_no_soc_diff
AR0400SR,AR0400SR_n20_medium_002,20,medium,2028,ab652d77ad99c251d7827684b7b2978a3bd5151609c5b557840eec8522a54259,5257,5257,5257,5257,505,505,505,505,0,0,0,False,False,False,1,1,1,0.1,18,2,0.3,"[9, 2, 14, 7, 8, 13, 6, 16, 15, 3, 5, 4, 19, 12, 18, 11, 10, 17, 0, 1]","[4, 0, 9, 2, 14, 7, 8, 13, 6, 16, 15, 3, 5, 19, 12, 18, 11, 10, 17, 1]","[9, 2, 14, 7, 8, 13, 6, 16, 15, 3, 5, 19, 12, 18, 11, 10, 17, 1, 4, 0]","[9, 2, 14, 7, 8, 13, 6, 16, 15, 3, 5, 4, 19, 12, 18, 11, 10, 17, 0, 1]",True,False,False,True,True,True,True
AR0400SR,AR0400SR_n20_high_000,20,high,2028,ab652d77ad99c251d7827684b7b2978a3bd5151609c5b557840eec8522a54259,6273,6273,6273,6273,502,502,502,502,0,0,0,False,False,False,3,3,1,0.3,14,2,0.458257569495584,"[16, 19, 11, 0, 3, 12, 9, 1, 2, 5, 7, 6, 10, 17, 4, 8, 18, 14, 13, 15]","[3, 17, 18, 14, 13, 15, 16, 19, 11, 0, 12, 9, 1, 2, 5, 7, 6, 10, 4, 8]","[16, 19, 11, 0, 12, 9, 1, 2, 5, 7, 6, 10, 4, 8, 3, 17, 18, 14, 13, 15]","[16, 19, 11, 0, 3, 12, 9, 1, 2, 5, 7, 6, 10, 17, 4, 8, 18, 14, 13, 15]",True,False,False,True,True,True,True
AR0400SR,AR0400SR_n20_high_001,20,high,2028,ab652d77ad99c251d7827684b7b2978a3bd5151609c5b557840eec8522a54259,6315,6315,6711,6315,505,505,505,505,396,0,396,True,False,True,57,6,2,0.6,11,3,0.7348469228349535,"[2, 4, 3, 14, 7, 12, 16, 0, 5, 6, 15, 19, 17, 9, 10, 8, 13, 1, 11, 18]","[3, 5, 13, 7, 12, 6, 10, 1, 18, 2, 4, 14, 16, 0, 15, 19, 17, 9, 8, 11]","[2, 4, 14, 16, 0, 15, 19, 17, 9, 8, 11, 7, 12, 6, 10, 1, 18, 3, 5, 13]","[2, 4, 3, 14, 7, 12, 16, 0, 5, 6, 15, 19, 17, 9, 10, 8, 13, 1, 11, 18]",True,False,False,True,True,True,False
AR0400SR,AR0400SR_n20_high_002,20,high,2028,ab652d77ad99c251d7827684b7b2978a3bd5151609c5b557840eec8522a54259,5525,5525,5525,5525,499,499,499,499,0,0,0,False,False,False,4,4,2,0.4,13,3,0.5830951894845301,"[18, 7, 10, 3, 9, 11, 0, 2, 13, 14, 8, 15, 17, 16, 4, 6, 12, 1, 5, 19]","[17, 7, 11, 2, 4, 1, 19, 18, 10, 3, 9, 0, 13, 14, 8, 15, 16, 6, 12, 5]","[18, 10, 3, 9, 0, 13, 14, 8, 15, 16, 6, 12, 5, 7, 11, 2, 4, 1, 19, 17]","[18, 7, 10, 3, 9, 11, 0, 2, 13, 14, 8, 15, 17, 16, 4, 6, 12, 1, 5, 19]",True,False,False,True,True,True,True
AR0307SR,AR0307SR_n05_low_000,5,low,2029,ff6bb64e15d8c507861966e27a00df0df1efcf7b070584b0313fc9448b4f2732,1237,1237,1237,1237,485,485,485,485,0,0,0,False,False,False,0,0,0,0,5,1,0.0,"[1, 3, 0, 2, 4]","[1, 3, 0, 2, 4]","[1, 3, 0, 2, 4]","[1, 3, 0, 2, 4]",True,True,True,True,True,False,False
AR0307SR,AR0307SR_n05_low_001,5,low,2029,ff6bb64e15d8c507861966e27a00df0df1efcf7b070584b0313fc9448b4f2732,703,703,703,703,335,335,335,335,0,0,0,False,False,False,0,0,0,0,5,1,0.0,"[4, 1, 2, 0, 3]","[4, 1, 2, 0, 3]","[4, 1, 2, 0, 3]","[4, 1, 2, 0, 3]",True,True,True,True,True,False,False
AR0307SR,AR0307SR_n05_low_002,5,low,2029,ff6bb64e15d8c507861966e27a00df0df1efcf7b070584b0313fc9448b4f2732,1376,1376,1376,1376,459,459,459,459,0,0,0,False,False,False,0,0,0,0,5,1,0.0,"[2, 3, 1, 0, 4]","[2, 3, 1, 0, 4]","[2, 3, 1, 0, 4]","[2, 3, 1, 0, 4]",True,True,True,True,True,False,False
AR0307SR,AR0307SR_n05_medium_000,5,medium,2029,ff6bb64e15d8c507861966e27a00df0df1efcf7b070584b0313fc9448b4f2732,1200,1200,1200,1200,440,440,440,440,0,0,0,False,False,False,1,1,1,0.4,3,2,0.4898979485566356,"[0, 1, 2, 3, 4]","[0, 3, 1, 2, 4]","[1, 2, 4, 0, 3]","[0, 1, 2, 3, 4]",True,False,False,True,True,True,True
AR0307SR,AR0307SR_n05_medium_001,5,medium,2029,ff6bb64e15d8c507861966e27a00df0df1efcf7b070584b0313fc9448b4f2732,1049,1049,1049,1049,488,488,488,488,0,0,0,False,False,False,1,1,1,0.4,3,2,0.4898979485566356,"[3, 0, 1, 4, 2]","[1, 4, 3, 0, 2]","[3, 0, 2, 1, 4]","[3, 0, 1, 4, 2]",True,False,False,True,True,True,True
AR0307SR,AR0307SR_n05_medium_002,5,medium,2029,ff6bb64e15d8c507861966e27a00df0df1efcf7b070584b0313fc9448b4f2732,1501,1501,1501,1501,500,500,500,500,0,0,0,False,False,False,1,1,1,0.4,3,2,0.4898979485566356,"[3, 4, 0, 1, 2]","[4, 2, 3, 0, 1]","[3, 0, 1, 4, 2]","[3, 4, 0, 1, 2]",True,False,False,True,True,True,True
