catalogue,strategy,run_count,mean_ordering_time_ms,median_ordering_time_ms,mean_pp_time_ms,median_pp_time_ms,mean_total_time_ms,median_total_time_ms,agent_count
AR0307SR,SPF+CD,9,84995.10031113298,81028.64550007507,86326.58511113065,82238.18830004893,171321.68542226363,163266.833800124,20
pooled_cross_map,SPF,54,48270.13060001277,40827.23775005434,48700.068296299796,40325.49615006428,96970.19889631256,81152.73390011862,
pooled_cross_map,CDF-H,54,48318.05014630986,40078.280950081535,49002.13188705621,41114.973200135864,97320.18203336607,81193.2541502174,
pooled_cross_map,CDF-L,54,48312.984529645524,40044.14564999752,49464.17970368552,40605.61044991482,97777.16423333104,80649.75609991234,
pooled_cross_map,SPF+CD,54,48266.68802038249,40173.08284994215,49036.02970001736,40759.134299936704,97302.71772039986,80888.3217999246,
pooled_cross_map,SPF,18,23318.250922266292,25147.243850049563,23352.797633360347,25449.98284999747,46671.048555626636,50597.76585013606,5
pooled_cross_map,CDF-H,18,23242.89112223778,24999.174050055444,23646.195572218858,25477.76969987899,46889.08669445664,50476.943749934435,5
pooled_cross_map,CDF-L,18,23337.37507227084,25040.142999961972,23539.578111092043,25453.933999990113,46876.95318336288,50494.076999952085,5
pooled_cross_map,SPF+CD,18,23107.335038871195,24709.458800032735,23580.30896666201,24865.928850020282,46687.644005533206,49575.38765005302,5
pooled_cross_map,SPF,18,39328.805250012214,39074.46330005769,39653.13135551858,39244.28975000046,78981.93660553079,78318.75305005815,10
pooled_cross_map,CDF-H,18,39364.96428890516,38879.31560003199,39857.387877819645,39305.25490012951,79222.3521667248,78184.5705001615,10
pooled_cross_map,CDF-L,18,39436.634277743804,38949.70699993428,39790.978255539405,39331.76684996579,79227.61253328322,78281.47384990007,10
pooled_cross_map,SPF+CD,18,39448.3885833502,38957.288500037976,39994.235633380915,39330.11235005688,79442.62421673111,78287.40085009485,10
pooled_cross_map,SPF,18,82163.3356277598,75683.18024999462,83094.27590002047,76440.97535009496,165257.61152778027,152152.25805004593,20
pooled_cross_map,CDF-H,18,82346.29502778666,76474.19110010378,83502.81221113012,77018.39330000803,165849.1072389168,153588.93045014702,20
pooled_cross_map,CDF-L,18,82164.94423892193,76055.08920003194,85061.98274442513,77161.70504991896,167226.92698334705,153216.7942499509,20
pooled_cross_map,SPF+CD,18,82244.34043892607,75702.92225002777,83533.54450000916,76781.3304499723,165777.88493893523,152484.25270000007,20
