map_name,manifest_sha256,instance_id,agent_count,interaction_level,strategy,agent_order,original_index_order,agent_degrees,independent_conflict_count,independent_conflict_pair_count,ordering_low_level_searches,incident_conflict_counts,success,termination_reason,ordering_time_ms,pp_time_ms,total_time_ms,soc,makespan,conflict_count,pp_low_level_searches,pp_agents_planned,error_message,catalogue_seed
AR0400SR,ab652d77ad99c251d7827684b7b2978a3bd5151609c5b557840eec8522a54259,AR0400SR_n05_medium_001,5,medium,cdf_h,"[1, 4, 3, 0, 2]","[1, 4, 3, 0, 2]","[0, 1, 0, 0, 1]",1,1,5,"[0, 1, 0, 0, 1]",True,success,28943.43649991788,29269.382999977097,58212.81949989498,1675,504,0,5,5,,2028
AR0400SR,ab652d77ad99c251d7827684b7b2978a3bd5151609c5b557840eec8522a54259,AR0400SR_n05_medium_001,5,medium,cdf_l,"[3, 0, 2, 1, 4]","[3, 0, 2, 1, 4]","[0, 1, 0, 0, 1]",1,1,5,"[0, 1, 0, 0, 1]",True,success,29447.2983002197,28631.49549998343,58078.79380020313,1675,504,0,5,5,,2028
AR0400SR,ab652d77ad99c251d7827684b7b2978a3bd5151609c5b557840eec8522a54259,AR0400SR_n05_medium_001,5,medium,spf_cd,"[3, 0, 2, 1, 4]","[3, 0, 2, 1, 4]","[0, 1, 0, 0, 1]",1,1,5,"[0, 1, 0, 0, 1]",True,success,27581.87500014901,28467.997699975967,56049.87270012498,1675,504,0,5,5,,2028
AR0400SR,ab652d77ad99c251d7827684b7b2978a3bd5151609c5b557840eec8522a54259,AR0400SR_n05_medium_002,5,medium,spf,"[1, 4, 3, 2, 0]","[1, 4, 3, 2, 0]",,,,,,True,success,15965.863100020215,15920.396900037304,31886.26000005752,1320,503,0,5,5,,2028
AR0400SR,ab652d77ad99c251d7827684b7b2978a3bd5151609c5b557840eec8522a54259,AR0400SR_n05_medium_002,5,medium,cdf_h,"[2, 0, 1, 4, 3]","[2, 0, 1, 4, 3]","[1, 0, 1, 0, 0]",1,1,5,"[1, 0, 1, 0, 0]",True,success,16032.163699856028,16109.500499907881,32141.66419976391,1320,503,0,5,5,,2028
AR0400SR,ab652d77ad99c251d7827684b7b2978a3bd5151609c5b557840eec8522a54259,AR0400SR_n05_medium_002,5,medium,cdf_l,"[1, 4, 3, 2, 0]","[1, 4, 3, 2, 0]","[1, 0, 1, 0, 0]",1,1,5,"[1, 0, 1, 0, 0]",True,success,16104.081200202927,16079.300499986857,32183.381700189784,1320,503,0,5,5,,2028
AR0400SR,ab652d77ad99c251d7827684b7b2978a3bd5151609c5b557840eec8522a54259,AR0400SR_n05_medium_002,5,medium,spf_cd,"[1, 4, 3, 2, 0]","[1, 4, 3, 2, 0]","[1, 0, 1, 0, 0]",1,1,5,"[1, 0, 1, 0, 0]",True,success,15660.898899892345,15940.488300053403,31601.387199945748,1320,503,0,5,5,,2028
AR0400SR,ab652d77ad99c251d7827684b7b2978a3bd5151609c5b557840eec8522a54259,AR0400SR_n10_high_000,10,high,spf,"[1, 4, 6, 3, 2, 7, 5, 9, 8, 0]","[1, 4, 6, 3, 2, 7, 5, 9, 8, 0]",,,,,,True,success,18891.5955000557,19135.420700069517,38027.01620012522,1922,407,0,10,10,,2028
AR0400SR,ab652d77ad99c251d7827684b7b2978a3bd5151609c5b557840eec8522a54259,AR0400SR_n10_high_000,10,high,cdf_h,"[3, 7, 9, 0, 1, 4, 6, 2, 5, 8]","[3, 7, 9, 0, 1, 4, 6, 2, 5, 8]","[1, 0, 0, 1, 0, 0, 0, 1, 0, 1]",32,2,10,"[1, 0, 0, 1, 0, 0, 0, 31, 0, 31]",True,success,18682.17150005512,18992.210100172088,37674.38160022721,1922,407,0,10,10,,2028
AR0400SR,ab652d77ad99c251d7827684b7b2978a3bd5151609c5b557840eec8522a54259,AR0400SR_n10_high_000,10,high,cdf_l,"[1, 4, 6, 2, 5, 8, 3, 7, 9, 0]","[1, 4, 6, 2, 5, 8, 3, 7, 9, 0]","[1, 0, 0, 1, 0, 0, 0, 1, 0, 1]",32,2,10,"[1, 0, 0, 1, 0, 0, 0, 31, 0, 31]",True,success,18788.37370011024,19170.583499828354,37958.957199938595,1922,407,0,10,10,,2028
AR0400SR,ab652d77ad99c251d7827684b7b2978a3bd5151609c5b557840eec8522a54259,AR0400SR_n10_high_000,10,high,spf_cd,"[1, 4, 6, 3, 2, 7, 5, 9, 8, 0]","[1, 4, 6, 3, 2, 7, 5, 9, 8, 0]","[1, 0, 0, 1, 0, 0, 0, 1, 0, 1]",32,2,10,"[1, 0, 0, 1, 0, 0, 0, 31, 0, 31]",True,success,18785.143800079823,19298.66400011815,38083.807800197974,1922,407,0,10,10,,2028
